Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
20.Blue.1,00:00.5,00:01.0,00:00.6,,,,,"""Okay"""
20.Pink.1,00:03.0,00:03.7,00:00.7,,,,,"""Um"""
20.Blue.2,00:05.7,00:07.7,00:02.0,,,Private,Compress Kit,"""I did the compress kit for number one"""
20.Pink.2,00:09.1,00:10.6,00:01.5,,,Private,Compress Kit,"""Uh I did that for number two"""
20.Blue.3,00:10.6,00:11.1,00:00.5,,,,,"""Okay"""
20.Orange.1,00:12.4,00:14.3,00:01.9,,,Private,Compress Kit,"""It was in my top ten as least"""
20.Blue.4,00:14.3,00:15.2,00:00.9,,,,,"""Um"""
20.Orange.2,00:17.9,00:23.0,00:05.1,,,Private,Chocolate Bar,"""My second least important was the chocolate bar because they can probably hunt the food"""
20.Blue.5,00:23.0,00:23.4,00:00.4,,,,,"""Mhm"""
20.Blue.6,00:24.2,00:26.7,00:02.4,,,Private,Whiskey,"""I think my least important was the whiskey"""
20.Pink.3,00:27.3,00:29.2,00:01.9,,,Private,Shortening,"""Uh mine was a can of shortening"""
20.Blue.7,00:29.7,00:31.4,00:01.7,Positive,,,,"""Okay $"""
20.Pink.4,00:30.2,00:31.2,00:01.0,Positive,,,,"""$"""
20.Orange.3,00:30.8,00:34.1,00:03.3,,,,Shortening,"""[unclear] used for like fuel for fire"""
20.Blue.8,00:34.6,00:35.0,00:00.4,,,,,"""Yeah"""
20.Orange.4,00:34.9,00:35.3,00:00.4,,,,,"""Yeah"""
20.Blue.9,00:37.3,00:38.7,00:01.4,,,,,"""What should we do first"""
20.Pink.5,00:39.8,00:41.2,00:01.4,,,,,"""Um the number one"""
20.Blue.10,00:44.7,00:46.2,00:01.5,,,,,"""So"""
20.Pink.6,00:47.5,00:52.9,00:05.4,,Proposal,Private,Cigarette Lighter,"""I thought it should be like the cigarette lighter because to start a fire if they didnt know how"""
20.Blue.11,00:53.6,00:54.5,00:01.0,,Agreement,,,"""Yeah thats true"""
20.Pink.7,00:54.7,00:55.1,00:00.4,,,,,"""Hm"""
20.Blue.12,00:55.8,00:56.6,00:00.8,,,,Cigarette Lighter,"""Should we do that"""
20.Orange.5,00:59.3,00:59.9,00:00.6,,,,,"""Hm"""
20.Orange.6,01:00.2,01:04.1,00:03.9,,,,Cigarette Lighter,"""And then they could have used um fluid for it"""
20.Orange.7,01:04.1,01:08.7,00:04.6,,,,Whiskey,"""For with what uh maybe the whiskey"""
20.Blue.13,01:07.1,01:09.4,00:02.4,,Agreement,,,"""Um yeah"""
20.Orange.8,01:09.4,01:10.0,00:00.5,,Agreement,,,"""Yeah"""
20.Blue.14,01:09.7,01:11.0,00:01.3,,Confirmation,,Cigarette Lighter,"""So have that as number one"""
20.Pink.8,01:11.2,01:11.6,00:00.4,,Agreement,,,"""Yeah"""
20.Orange.9,01:11.5,01:12.0,00:00.5,,Agreement,,,"""Sure"""
20.Blue.15,01:13.7,01:18.0,00:04.3,,,Private,Rope,"""And then number two I did the thirty feet of rope"""
20.Pink.9,01:19.0,01:22.5,00:03.5,,,Private,Compress Kit,"""Oh I did the compress kit cause like what if someone got injured"""
20.Blue.16,01:22.5,01:23.1,00:00.6,,,,,"""Thats true"""
20.Pink.10,01:23.1,01:23.5,00:00.4,,,,,"""Yeah"""
20.Blue.17,01:28.4,01:29.5,00:01.1,,Proposal,,Compress Kit,"""Should we do the compress kit"""
20.Orange.10,01:30.5,01:30.8,00:00.3,,Agreement,,,"""Yeah"""
20.Blue.18,01:36.2,01:37.9,00:01.7,,Proposal,Private,Knife,"""And then number three I did the knife"""
20.Pink.11,01:38.5,01:39.1,00:00.6,,Agreement,,,"""Oh yeah same"""
20.Blue.19,01:39.4,01:39.8,00:00.4,,,,,"""Yeah"""
20.Orange.11,01:41.2,01:42.6,00:01.4,,Agreement,Private,Knife,"""I was pretty high up there too"""
20.Blue.20,01:42.5,01:43.0,00:00.5,,,,,"""Okay"""
20.Orange.12,01:43.0,01:43.3,00:00.3,,,,,"""Yeah"""
20.Blue.21,01:44.5,01:45.2,00:00.7,,Confirmation,,Knife,"""Well do that"""
20.Blue.22,01:48.2,01:49.7,00:01.5,,,Private,Compass,"""Number four I did the compass"""
20.Pink.12,01:51.1,01:53.3,00:02.2,,,Private,Flashlight,"""Oh I did the flashlight with batteries"""
20.Blue.23,01:54.4,01:54.9,00:00.5,,,,,"""Okay"""
20.Blue.24,01:56.7,01:57.5,00:00.8,,,,,"""What did you do"""
20.Orange.13,01:58.2,02:01.2,00:03.0,,,Private,Compass,"""Uh compass was number three for me"""
20.Orange.14,02:01.7,02:02.8,00:01.1,,,Private,Compass,"""Its pretty close to me"""
20.Blue.25,02:02.5,02:03.3,00:00.8,,Proposal,,Compass,"""Should I do compass then"""
20.Orange.15,02:03.3,02:03.8,00:00.5,,Agreement,,,"""Yeah sure"""
20.Pink.13,02:03.3,02:03.7,00:00.4,,Agreement,,,"""Yeah"""
20.Blue.26,02:06.7,02:09.1,00:02.5,,Proposal,Private,Flashlight,"""And then number five I did the flashlight with batteries"""
20.Pink.14,02:10.9,02:12.4,00:01.5,,Agreement,Private,Flashlight,"""Yeah I did that for number four"""
20.Blue.27,02:12.7,02:13.8,00:01.1,,,,,"""Thats pretty close"""
20.Pink.15,02:13.7,02:14.0,00:00.3,,,,,"""Mhm"""
20.Blue.28,02:21.5,02:24.0,00:02.6,,,Private,Shirt/Pants,"""Number six I did the extra shirt and pants"""
20.Pink.16,02:25.8,02:27.0,00:01.2,,,Private,Compass,"""Uh I did the compass"""
20.Blue.29,02:27.5,02:28.1,00:00.6,,,,,"""Okay"""
20.Pink.17,02:29.1,02:31.9,00:02.8,,,,,"""Just because like they said were already dressed"""
20.Blue.30,02:32.0,02:32.8,00:00.8,,,,,"""Thats true"""
20.Orange.16,02:32.8,02:33.2,00:00.4,,,,,"""Yeah"""
20.Blue.31,02:34.3,02:35.9,00:01.6,,,,,"""What did you do for number six"""
20.Orange.17,02:35.5,02:38.7,00:03.2,,,Private,Compress Kit,"""Um mine was the compress kit"""
20.Blue.32,02:38.8,02:39.3,00:00.5,,,,,"""Okay"""
20.Blue.33,02:43.6,02:44.1,00:00.5,,,,,"""Hm"""
20.Blue.34,02:51.4,02:53.2,00:01.8,,Proposal,,Shirt/Pants,"""Should we do the clothing because we didnt"""
20.Blue.35,02:53.5,02:56.9,00:03.4,,,,"Compass, Compress Kit","""We have the compass and the compress kit already or"""
20.Orange.18,03:03.6,03:06.2,00:02.6,,"Proposal, Disagreement",Private,Whiskey,"""Whiskey was pretty high up there for me personally"""
20.Blue.36,03:06.3,03:06.7,00:00.5,,Agreement,,,"""Okay"""
20.Orange.19,03:06.7,03:08.1,00:01.3,,,,Whiskey,"""This is kind of useful"""
20.Blue.37,03:08.1,03:08.6,00:00.5,,Agreement,,,"""Thats true"""
20.Blue.38,03:09.6,03:11.1,00:01.5,,Proposal,,Whiskey,"""Lets do whiskey then"""
20.Orange.20,03:11.1,03:11.6,00:00.5,,Agreement,,,"""Okay"""
20.Blue.39,03:18.6,03:20.7,00:02.1,,,Private,Air Map,"""And then number seven I did the air map"""
20.Pink.18,03:21.5,03:23.8,00:02.3,,,Private,Pistol,"""Um I did the gun the pistol"""
20.Blue.40,03:25.0,03:25.6,00:00.6,,,,,"""Okay"""
20.Blue.41,03:26.3,03:27.2,00:00.9,,,,,"""That was close"""
20.Blue.42,03:27.2,03:27.8,00:00.6,,,,,"""Yeah"""
20.Blue.43,03:28.1,03:28.6,00:00.5,,,,,"""Um"""
20.Blue.44,03:29.5,03:30.2,00:00.8,,,,,"""What did you do"""
20.Orange.21,03:31.1,03:32.4,00:01.3,,,,,"""Hm"""
20.Orange.22,03:32.4,03:33.9,00:01.4,,,Private,Pistol,"""The pistol was pretty high up there"""
20.Blue.45,03:34.0,03:34.5,00:00.5,,,,,"""Okay"""
20.Blue.46,03:35.2,03:36.2,00:01.0,,Proposal,,Pistol,"""Lets do that then"""
20.Orange.23,03:39.2,03:45.1,00:05.9,,,,Air Map,"""Cause the air map um I dont know what could have been used for"""
20.Orange.24,03:45.9,03:47.0,00:01.1,,,,Air Map,"""Maybe like a tarp"""
20.Blue.47,03:47.0,03:48.2,00:01.2,,,,,"""Yeah I guess but"""
20.Orange.25,03:50.1,03:53.5,00:03.4,,,,Air Map,"""But if its sectional like how big do you think it could be"""
20.Blue.48,03:53.5,03:55.1,00:01.6,Positive,,,,"""Yeah $"""
20.Orange.26,03:53.6,03:54.8,00:01.3,Positive,,,,"""I dont know $"""
20.Blue.49,03:57.5,04:00.7,00:03.2,,Proposal,Private,Chocolate Bar,"""Um I did the chocolate bar as number eight"""
20.Pink.19,04:01.4,04:03.4,00:02.0,,Agreement,Private,Chocolate Bar,"""I did the chocolate bar too for number eight"""
20.Blue.50,04:03.4,04:03.7,00:00.3,,,,,"""Yeah"""
20.Blue.51,04:03.9,04:04.3,00:00.5,,,,,"""Okay"""
20.Blue.52,04:10.2,04:12.1,00:01.9,,,Private,Newspaper,"""Number nine did the newspaper"""
20.Orange.27,04:13.0,04:15.1,00:02.1,,,,,"""I did [unclear]"""
20.Blue.53,04:13.5,04:15.1,00:01.6,,,,Newspaper,"""That could be used I dont know"""
20.Pink.20,04:15.2,04:18.6,00:03.4,,,,Newspaper,"""Oh yeah I guess to like start a fire if the wood was wet"""
20.Blue.54,04:16.8,04:17.4,00:00.6,,,,,"""Yeah"""
20.Blue.55,04:18.3,04:18.8,00:00.5,,,,,"""Yeah"""
20.Pink.21,04:19.1,04:19.5,00:00.4,,,,,"""Hm"""
20.Blue.56,04:20.4,04:21.4,00:01.0,,Proposal,,Newspaper,"""Do that then"""
20.Blue.57,04:26.4,04:28.1,00:01.8,,Proposal,Private,Shortening,"""Um ten I did the can of shortening"""
20.Orange.28,04:29.1,04:31.0,00:01.9,,,Private,Shortening,"""Uh it was number eleven for me"""
20.Blue.58,04:30.9,04:31.3,00:00.4,,,,,"""Yeah"""
20.Orange.29,04:31.0,04:32.2,00:01.2,,Agreement,,,"""So yeah"""
20.Blue.59,04:33.2,04:33.8,00:00.6,,,,,"""Okay"""
20.Blue.60,04:37.7,04:39.8,00:02.1,,Proposal,Private,Steel Wool,"""And then eleven I did the steel wool"""
20.Pink.22,04:41.2,04:43.7,00:02.4,Positive,Agreement,Private,Steel Wool,"""I did the steel wool too for my eleven $"""
20.Blue.61,04:42.6,04:43.5,00:00.9,Positive,,,,"""Yeah $"""
20.Blue.62,04:44.5,04:45.0,00:00.4,,,,,"""Okay"""
20.Blue.63,04:49.0,04:50.9,00:01.9,,,Private,Pistol,"""Um twelve I did the pistol"""
20.Blue.64,04:51.7,04:53.7,00:02.0,,,,Pistol,"""We already have that I think right"""
20.Orange.30,04:55.2,04:55.8,00:00.6,,,,,"""I think so"""
20.Pink.23,04:55.4,04:55.8,00:00.4,,,,,"""Yeah"""
20.Blue.65,04:56.0,04:56.5,00:00.6,,,,,"""Yeah"""
20.Blue.66,04:57.4,05:01.1,00:03.7,,,,,"""Um what did you guys have for number thirteen"""
20.Orange.31,05:01.9,05:02.9,00:01.1,,,Private,Ski Poles,"""The ski poles"""
20.Blue.67,05:04.1,05:05.0,00:00.9,,,Private,Ski Poles,"""Yeah I have that too"""
20.Blue.68,05:06.2,05:07.6,00:01.5,,Proposal,,Ski Poles,"""You want to have that as twelve then"""
20.Orange.32,05:09.8,05:10.9,00:01.1,,Agreement,,,"""Uh yeah sure"""
20.Blue.69,05:10.9,05:11.3,00:00.4,,,,,"""Okay"""
20.Blue.70,05:15.7,05:17.0,00:01.3,,,,,"""And then"""
20.Blue.71,05:24.6,05:25.8,00:01.1,,,,,"""What do we have left"""
20.Blue.72,05:26.2,05:27.7,00:01.5,,,,Rope,"""We have rope"""
20.Blue.73,05:31.7,05:36.4,00:04.6,,,,,"""Should we have for number is it thirteen now or fourteen"""
20.Pink.24,05:40.4,05:42.2,00:01.7,,,,,"""Um uh which two are left"""
20.Blue.74,05:42.2,05:48.5,00:06.3,,,,"Air Map, Rope, Shirt/Pants","""I think we have the rope the extra shirt and pants and then the air map"""
20.Pink.25,05:50.4,05:51.7,00:01.3,,Proposal,,Air Map,"""The air map I think"""
20.Blue.75,05:51.4,05:52.1,00:00.6,,Agreement,,,"""Yeah"""
20.Blue.76,05:53.0,05:53.7,00:00.8,,Agreement,,,"""I think so"""
20.Blue.77,05:56.7,05:58.5,00:01.8,,,,,"""And then the last two"""
20.Blue.78,06:00.1,06:02.7,00:02.6,,Proposal,,"Rope, Shirt/Pants","""Should we do the rope cause they already have clothes"""
20.Pink.26,06:03.2,06:03.6,00:00.4,,Agreement,,,"""Yeah"""
20.Orange.33,06:03.7,06:04.1,00:00.4,,Agreement,,,"""Yeah"""
20.Blue.79,06:03.9,06:04.4,00:00.4,,,,,"""Yeah"""
20.Blue.80,06:05.5,06:08.0,00:02.5,,Proposal,,Shirt/Pants,"""And then shirt and pants fifteen"""
20.Blue.81,06:10.8,06:11.3,00:00.5,,,,,"""Okay"""
