Participant,Start,End,Decision 
11.Pink.5,00:14.0,00:19.7,Proposal
11.Green.18,01:27.6,01:29.6,Proposal
11.Green.19,01:31.7,01:33.1,Proposal
11.Pink.18,01:32.4,01:35.8,Disagreement
11.Pink.19,01:36.0,01:41.4,Disagreement
11.Pink.35,03:01.7,03:04.4,Agreement
11.Pink.36,03:04.4,03:06.6,Confirmation
11.Green.36,03:16.0,03:22.4,Proposal
11.Pink.39,03:18.0,03:19.2,Agreement
11.Pink.40,03:21.2,03:25.4,Agreement
11.Pink.49,04:28.1,04:41.7,Proposal
11.Green.45,04:34.4,04:35.4,Agreement
11.Green.46,04:39.1,04:41.7,Agreement
11.Pink.50,04:41.7,04:44.3,Proposal
11.Green.47,04:44.3,04:45.3,Agreement
11.Pink.67,06:15.2,06:19.5,Proposal
11.Green.59,06:20.8,06:24.7,Disagreement
11.Pink.92,08:35.8,08:44.8,Proposal
11.Green.78,08:43.1,08:45.2,Agreement
11.Pink.97,09:01.5,09:03.4,Proposal
11.Green.81,09:03.4,09:04.1,Agreement
11.Pink.99,09:05.4,09:08.1,Confirmation
11.Green.83,09:14.2,09:16.8,Proposal
11.Pink.105,09:32.0,09:35.1,Proposal
11.Pink.107,09:45.6,09:47.3,Proposal
11.Green.88,09:48.5,09:50.0,Agreement
11.Pink.111,09:54.4,09:58.5,Proposal
11.Green.89,09:58.6,10:00.2,Agreement
11.Pink.114,10:14.6,10:19.5,Proposal
11.Green.91,10:19.7,10:20.2,Agreement
11.Pink.116,10:22.2,10:25.0,Confirmation
11.Green.92,10:25.0,10:27.2,Proposal
11.Pink.118,10:27.3,10:28.6,Confirmation
11.Pink.122,11:03.3,11:07.3,Proposal
11.Green.98,11:05.4,11:06.9,Agreement
11.Pink.127,11:32.9,11:43.3,Proposal
11.Pink.131,11:58.8,12:00.9,Proposal
11.Green.109,12:00.4,12:01.8,Agreement
11.Pink.133,12:10.2,12:12.2,Proposal
11.Green.111,12:12.2,12:13.5,Agreement
11.Pink.137,12:26.9,12:28.7,Proposal
