Participant,Start,End,Decision 
28.Blue.42,03:00.6,03:06.1,Proposal
28.Orange.39,03:04.2,03:06.9,Agreement
28.Pink.17,03:06.1,03:06.6,Agreement
28.Orange.44,03:34.9,03:37.2,Proposal
28.Blue.49,03:40.7,03:44.2,Proposal
28.Pink.21,03:44.2,03:44.9,Agreement
28.Orange.46,03:46.8,03:49.3,Agreement
28.Blue.55,03:59.4,04:03.7,Proposal
28.Pink.25,04:04.4,04:06.6,Proposal & Disagreement
28.Orange.51,04:08.4,04:09.8,Proposal
28.Blue.57,04:09.3,04:14.9,Disagreement
28.Orange.52,04:14.5,04:17.1,Proposal
28.Blue.63,04:36.3,04:37.5,Disagreement
28.Blue.64,04:37.5,04:38.7,Disagreement
28.Blue.65,04:38.7,04:39.8,Disagreement
28.Blue.67,04:46.0,04:48.8,Proposal
28.Pink.27,04:48.8,04:49.4,Agreement
28.Orange.62,04:48.9,04:49.6,Agreement
28.Orange.64,04:54.6,04:58.4,Proposal
28.Blue.69,04:58.4,05:00.5,Agreement
28.Pink.28,05:18.5,05:22.2,Proposal
28.Orange.68,05:22.4,05:24.5,Disagreement
28.Blue.82,05:59.4,06:01.5,Proposal
28.Orange.78,06:01.4,06:01.8,Disagreement
28.Pink.33,06:01.8,06:02.3,Disagreement
28.Orange.79,06:02.3,06:03.6,Disagreement
28.Pink.34,06:02.3,06:03.3,Disagreement
28.Orange.80,06:03.6,06:05.5,Disagreement
28.Orange.85,06:29.3,06:30.1,Proposal
28.Blue.91,06:30.1,06:31.3,Proposal
28.Pink.38,06:31.1,06:32.4,Agreement
28.Orange.86,06:31.8,06:33.2,Agreement
28.Orange.87,06:33.2,06:34.2,Proposal
28.Blue.95,06:40.5,06:43.4,Disagreement
28.Blue.96,06:43.4,06:46.4,Disagreement
28.Blue.97,06:46.6,06:47.8,Disagreement
28.Blue.98,06:48.0,06:49.8,Disagreement
28.Blue.106,07:30.0,07:32.5,Proposal
28.Orange.107,07:41.5,07:43.8,Proposal
28.Blue.108,07:43.9,07:44.5,Agreement
28.Blue.109,07:45.0,07:45.6,Agreement
28.Orange.109,07:54.5,07:55.3,Proposal
28.Blue.112,07:55.5,07:56.5,Proposal
28.Orange.110,07:56.5,07:57.1,Agreement
28.Orange.111,07:57.1,07:58.5,Proposal
28.Blue.113,07:58.5,07:59.3,Agreement
28.Orange.115,08:18.8,08:24.5,Proposal
28.Blue.119,08:25.7,08:26.3,Agreement
28.Pink.44,08:26.0,08:26.6,Agreement
28.Blue.127,09:01.6,09:05.4,Proposal
28.Orange.121,09:05.4,09:06.1,Agreement
28.Pink.49,09:06.6,09:07.6,Agreement
28.Blue.129,09:07.6,09:10.1,Proposal
28.Orange.122,09:12.1,09:13.0,Agreement
28.Pink.50,09:13.3,09:14.2,Agreement
28.Blue.131,09:14.8,09:16.4,Proposal
28.Blue.135,09:21.8,09:25.2,Proposal
28.Pink.53,09:25.2,09:25.8,Agreement
28.Orange.125,09:25.6,09:26.2,Agreement
28.Blue.155,10:26.3,10:28.2,Proposal
28.Pink.60,10:30.9,10:31.5,Agreement
28.Orange.133,10:31.0,10:31.5,Agreement
28.Orange.134,10:32.5,10:33.2,Confirmation
28.Orange.135,10:35.4,10:36.8,Agreement
28.Orange.137,10:43.0,10:45.2,Proposal
28.Blue.159,10:43.7,10:45.3,Agreement
28.Blue.165,11:05.0,11:08.5,Proposal
28.Orange.143,11:09.0,11:14.2,Agreement
28.Blue.168,11:14.8,11:16.7,Confirmation
28.Pink.65,11:15.7,11:17.0,Agreement
28.Orange.145,11:28.5,11:30.6,Proposal
28.Pink.66,11:30.6,11:31.2,Agreement
28.Blue.172,11:30.9,11:31.7,Agreement
28.Blue.174,11:32.8,11:34.1,Agreement
28.Blue.175,11:34.4,11:38.2,Proposal
28.Orange.147,11:39.1,11:40.5,Agreement
28.Orange.148,11:41.9,11:44.0,Proposal
28.Blue.176,11:44.0,11:46.9,Disagreement
28.Pink.68,11:44.1,11:48.0,Proposal & Disagreement
28.Blue.177,11:47.1,11:48.0,Agreement
28.Orange.150,11:47.9,11:49.8,Agreement
28.Blue.178,11:48.1,11:52.3,Confirmation
28.Orange.159,12:50.0,12:51.7,Disagreement
28.Orange.160,12:52.1,12:53.3,Proposal
28.Blue.194,13:28.0,13:34.1,Disagreement
28.Blue.195,13:34.1,13:37.7,Disagreement
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
