Participant,Start,End,Decision 
7.Blue.61,08:15.8,08:18.5,Proposal
7.Green.117,08:17.0,08:19.0,Agreement
7.Orange.73,08:18.2,08:20.4,Agreement
7.Blue.62,08:31.8,08:37.9,Proposal
7.Green.122,08:37.9,08:39.4,Agreement
7.Orange.74,08:38.6,08:39.8,Agreement
7.Green.123,08:39.9,08:41.0,Confirmation
7.Orange.75,08:41.0,08:41.7,Agreement
7.Green.124,08:41.7,08:42.9,Confirmation
7.Orange.76,08:48.0,08:49.4,Proposal
7.Green.127,08:49.7,08:51.1,Agreement
7.Green.128,08:51.3,08:52.5,Agreement
7.Blue.63,08:55.1,08:58.7,Proposal
7.Green.130,08:58.9,09:02.2,Agreement
7.Orange.77,08:59.1,09:00.1,Agreement
7.Blue.64,09:22.7,09:24.2,Proposal
7.Green.141,09:25.0,09:25.7,Agreement
7.Green.142,09:26.6,09:29.5,Agreement
7.Green.146,09:41.2,09:43.2,Proposal & Confirmation
7.Orange.80,09:56.2,09:58.4,Proposal
7.Green.151,09:59.8,10:00.8,Agreement
7.Blue.67,10:07.1,10:08.2,Proposal
7.Green.154,10:09.0,10:11.1,Agreement
7.Orange.81,10:11.0,10:12.0,Agreement
7.Green.157,10:26.2,10:31.8,Proposal
7.Orange.82,10:31.9,10:33.0,Agreement
7.Blue.70,10:33.2,10:35.0,Agreement
7.Orange.84,10:47.1,10:49.4,Proposal
7.Green.164,10:48.8,10:49.6,Agreement
7.Green.165,10:49.8,10:50.8,Agreement
7.Green.166,10:52.1,10:53.5,Confirmation
7.Blue.72,10:54.7,11:00.5,Proposal
7.Green.168,10:59.4,11:00.5,Agreement
7.Green.169,11:01.3,11:02.6,Agreement
7.Orange.86,11:01.7,11:02.4,Agreement
7.Orange.87,11:02.5,11:03.3,Agreement
7.Green.170,11:04.1,11:05.4,Confirmation
7.Green.172,11:06.6,11:09.7,Confirmation
7.Blue.73,11:07.6,11:09.0,Confirmation
7.Orange.88,11:13.0,11:15.1,Proposal
7.Green.174,11:15.2,11:15.9,Agreement
7.Blue.74,11:15.4,11:16.1,Agreement
7.Green.175,11:16.3,11:17.5,Agreement
7.Blue.76,11:27.0,11:29.6,Proposal
7.Orange.90,11:36.1,11:38.4,Proposal
7.Blue.79,11:38.6,11:39.4,Agreement
7.Green.180,11:40.4,11:42.9,Confirmation
7.Orange.92,11:51.0,11:54.1,Proposal
7.Green.183,11:52.9,11:53.8,Agreement
7.Blue.81,11:53.2,11:54.4,Proposal
