Participant	Start	End	Decision 
13.Yellow.40	01:08.1	01:10.4	Proposal
13.Yellow.60	02:13.7	02:16.4	Proposal
13.Yellow.62	02:17.5	02:19.3	Confirmation
13.Blue.26	02:17.7	02:18.2	Agreement
13.Blue.27	02:19.4	02:19.9	Agreement
13.Yellow.67	02:26.4	02:28.2	Proposal
13.Yellow.68	02:28.2	02:29.8	Confirmation
13.Blue.28	02:28.5	02:29.5	Agreement
13.Yellow.70	02:32.1	02:33.6	Proposal
13.Blue.30	02:34.8	02:35.4	Agreement
13.Yellow.78	02:58.6	03:00.1	Proposal
13.Yellow.79	03:00.3	03:01.5	Confirmation
13.Blue.35	03:00.6	03:01.1	Agreement
13.Yellow.80	03:02.2	03:03.8	Proposal
13.Yellow.81	03:03.8	03:04.8	Proposal
13.Yellow.82	03:04.8	03:05.7	Proposal
13.Blue.36	03:05.0	03:05.9	Agreement
13.Blue.37	03:12.9	03:20.0	Proposal
13.Yellow.88	03:16.9	03:17.5	Agreement
13.Yellow.89	03:19.9	03:21.0	Agreement
13.Yellow.90	03:21.3	03:23.1	Confirmation
13.Yellow.93	03:27.6	03:30.5	Proposal
13.Blue.39	03:30.9	03:31.3	Agreement
13.Yellow.106	03:55.8	03:56.5	Proposal
13.Blue.44	03:56.5	03:57.0	Agreement
13.Yellow.129	04:53.7	04:57.1	Proposal
13.Yellow.130	04:57.1	04:59.9	Proposal
13.Blue.53	04:58.8	04:59.3	Agreement
13.Yellow.135	05:11.7	05:14.4	Proposal
13.Blue.55	05:15.2	05:19.3	Disagreement
13.Yellow.143	05:26.7	05:27.3	Proposal
13.Blue.58	05:38.4	05:42.1	Proposal
13.Blue.62	05:52.3	05:55.5	Proposal
13.Yellow.154	05:54.0	05:54.5	Agreement
13.Yellow.155	05:54.5	05:56.0	Agreement
13.Yellow.156	05:57.3	05:58.1	Confirmation
13.Yellow.157	05:58.2	05:59.3	Proposal
13.Blue.65	05:59.1	05:59.7	Agreement
13.Yellow.165	06:12.5	06:14.5	Proposal
13.Yellow.166	06:14.5	06:15.6	Proposal
13.Yellow.171	06:27.7	06:28.4	Proposal
13.Blue.69	06:28.4	06:28.9	Agreement
13.Yellow.180	06:47.4	06:49.5	Proposal
13.Blue.72	06:49.9	06:50.4	Agreement
13.Yellow.187	07:01.6	07:03.1	Confirmation
13.Yellow.188	07:03.1	07:04.1	Confirmation
13.Blue.78	07:25.3	07:28.8	Proposal
13.Yellow.197	07:28.5	07:29.5	Proposal
13.Yellow.199	07:30.6	07:31.4	Confirmation
13.Yellow.200	07:31.5	07:32.6	Proposal
13.Blue.79	07:33.1	07:33.8	Agreement
13.Yellow.201	07:38.9	07:40.0	Confirmation
13.Yellow.215	08:11.4	08:15.7	Proposal
13.Yellow.216	08:15.7	08:18.3	Proposal
13.Yellow.218	08:21.1	08:22.4	Confirmation
13.Yellow.219	08:22.5	08:25.3	Confirmation
13.Yellow.220	08:26.7	08:27.7	Confirmation
13.Yellow.221	08:28.6	08:29.9	Confirmation
13.Blue.90	08:31.1	08:31.5	Agreement
