Participant	Start	End	Decision 
14.Red.39	03:40.1	03:47.3	Proposal
14.Pink.8	03:47.9	03:48.2	Agreement
14.Blue.11	03:48.1	03:48.4	Agreement
14.Blue.12	04:05.6	04:06.6	Proposal
14.Red.45	04:14.4	04:15.7	Agreement
14.Red.46	04:17.4	04:20.5	Proposal
14.Yellow.8	04:19.4	04:20.2	Agreement
14.Blue.15	04:20.5	04:20.8	Agreement
14.Pink.9	04:20.8	04:21.1	Agreement
14.Red.54	04:44.2	04:49.0	Proposal
14.Pink.10	04:51.3	04:59.7	Agreement
14.Yellow.9	05:00.4	05:01.1	Agreement
14.Red.64	05:42.0	05:51.4	Proposal
14.Red.69	06:15.2	06:21.1	Proposal
14.Blue.20	06:21.1	06:21.5	Agreement
14.Blue.21	06:21.5	06:26.2	Agreement
14.Red.70	06:26.3	06:31.8	Confirmation
14.Red.83	07:28.9	07:32.3	Proposal
14.Red.84	07:32.5	07:37.8	Proposal
14.Pink.12	07:32.6	07:33.0	Agreement
14.Blue.24	07:32.6	07:33.1	Agreement
14.Blue.25	07:37.6	07:38.3	Agreement
14.Blue.26	07:38.3	07:41.2	Agreement
14.Red.86	07:47.5	07:50.2	Proposal
14.Pink.13	07:50.1	07:50.7	Agreement
14.Yellow.11	07:50.4	07:50.8	Agreement
14.Red.88	07:51.3	07:54.6	Confirmation
14.Red.89	07:55.1	08:02.0	Proposal
14.Blue.29	08:13.3	08:15.3	Agreement
14.Red.93	08:15.7	08:18.2	Confirmation
14.Red.95	08:28.2	08:35.5	Proposal
14.Blue.30	08:32.6	08:33.0	Agreement
14.Pink.14	08:34.8	08:35.4	Agreement
14.Blue.31	08:35.2	08:37.6	Agreement
14.Red.97	08:44.9	08:47.1	Confirmation
14.Blue.32	09:11.9	09:14.6	Proposal
14.Yellow.13	09:15.4	09:17.5	Agreement
14.Red.102	09:19.5	09:20.4	Confirmation
14.Blue.34	09:33.3	09:40.7	Proposal
14.Red.104	09:39.3	09:39.7	Agreement
14.Red.105	09:40.5	09:41.3	Agreement
14.Red.111	10:01.3	10:04.8	Proposal
14.Red.112	10:05.5	10:08.7	Proposal
