Participant	Start	End	Decision 
26.Pink.13	00:39.8	00:42.8	Proposal
26.Orange.6	00:42.8	00:43.5	Agreement
26.Pink.24	01:17.2	01:18.8	Proposal
26.Orange.15	01:23.6	01:25.8	Agreement
26.Orange.16	01:26.8	01:27.8	Agreement
26.Blue.9	01:27.4	01:29.1	Agreement
26.Orange.17	01:28.3	01:29.6	Agreement
26.Orange.18	01:33.1	01:39.1	Proposal
26.Pink.27	01:38.4	01:40.6	Agreement
26.Blue.10	01:38.7	01:39.6	Agreement
26.Blue.11	01:43.9	01:45.9	Proposal
26.Pink.29	01:45.8	01:46.6	Agreement
26.Orange.19	01:47.1	01:50.2	Agreement
26.Pink.30	01:48.2	01:50.8	Agreement
26.Orange.20	01:51.0	01:51.9	Confirmation
26.Blue.13	01:58.0	01:59.9	Proposal
26.Pink.32	01:59.9	02:00.7	Agreement
26.Pink.33	02:00.9	02:05.9	Agreement
26.Orange.21	02:02.3	02:03.4	Agreement
26.Orange.23	02:07.6	02:08.3	Confirmation
26.Pink.34	02:11.3	02:14.5	Proposal
26.Blue.14	02:17.8	02:18.4	Agreement
26.Orange.26	02:20.1	02:24.1	Proposal
26.Pink.37	02:24.5	02:25.6	Agreement
26.Blue.16	02:26.8	02:28.0	Proposal
26.Orange.38	02:49.3	02:54.2	Proposal
26.Pink.43	02:53.1	02:53.8	Agreement
26.Pink.44	02:53.8	02:55.1	Proposal
26.Blue.19	02:58.2	02:58.9	Agreement
26.Orange.40	02:58.4	03:00.6	Proposal & Disagreement
26.Blue.20	03:00.5	03:01.9	Agreement
26.Pink.47	03:00.7	03:01.6	Disagreement
26.Blue.21	03:01.9	03:03.7	Agreement
26.Pink.49	03:05.2	03:09.2	Disagreement
26.Pink.50	03:09.2	03:11.9	Disagreement
26.Blue.24	03:31.1	03:33.5	Proposal
26.Orange.44	03:33.7	03:34.6	Agreement
26.Orange.45	03:34.6	03:36.9	Confirmation
26.Orange.46	03:36.9	03:38.6	Confirmation
26.Blue.26	03:38.7	03:39.3	Agreement
26.Pink.54	03:38.8	03:39.2	Agreement
26.Pink.55	03:42.6	03:46.6	Proposal
26.Blue.27	03:54.5	03:55.9	Agreement
26.Orange.48	03:54.7	03:55.8	Agreement
26.Orange.52	04:12.2	04:16.4	Proposal
26.Pink.59	04:16.6	04:20.4	Proposal & Disagreement
26.Blue.29	04:20.4	04:21.0	Agreement
26.Pink.61	04:23.9	04:26.7	Proposal
26.Orange.53	04:27.3	04:27.9	Agreement
26.Orange.54	04:27.9	04:30.6	Confirmation
26.Pink.63	04:30.9	04:31.5	Agreement
26.Orange.56	04:33.0	04:37.9	Proposal
26.Orange.57	04:37.9	04:38.9	Proposal
26.Pink.64	04:38.9	04:40.4	Agreement
26.Orange.58	04:40.3	04:43.4	Proposal
26.Blue.30	04:42.0	04:43.3	Agreement
26.Pink.65	04:43.3	04:44.0	Agreement
26.Pink.70	05:04.9	05:06.6	Proposal
26.Orange.63	05:12.0	05:12.8	Agreement
26.Orange.64	05:13.1	05:17.4	Confirmation
