Participant,Start,End,Sentiment 
15.Purple.2,00:05.7,00:10.4,Positive
15.Orange.2,00:09.2,00:11.1,Positive
15.Blue.10,01:19.7,01:23.8,Positive & Negative
15.Orange.4,01:26.5,01:27.3,Positive
15.Blue.16,01:35.2,01:37.2,Positive
15.Orange.5,01:36.2,01:37.7,Positive
15.Blue.17,01:44.9,01:45.7,Positive
15.Orange.7,01:47.9,01:50.0,Negative
15.Orange.8,01:50.0,01:53.7,Positive
15.Orange.10,01:55.6,01:56.9,Positive
15.Blue.20,02:21.2,02:24.5,Positive
15.Orange.13,02:22.9,02:24.3,Positive
15.Yellow.15,02:45.2,02:46.0,Positive
15.Blue.31,03:21.9,03:24.9,Positive
15.Blue.34,03:32.5,03:33.2,Positive
15.Blue.35,03:35.1,03:36.0,Negative
15.Purple.48,03:40.0,03:41.1,Positive
15.Yellow.26,03:53.4,03:55.6,Negative
15.Yellow.28,04:04.4,04:09.1,Negative
15.Orange.24,04:27.1,04:28.5,Positive
15.Orange.25,04:33.0,04:34.2,Positive
15.Blue.44,04:33.2,04:36.7,Positive
15.Purple.63,04:44.9,04:49.6,Negative
15.Orange.28,04:46.4,04:47.8,Positive
15.Orange.29,04:49.1,04:51.6,Positive & Negative
15.Blue.52,05:26.1,05:26.7,Negative
15.Blue.54,05:31.3,05:35.6,Positive
15.Blue.59,05:53.1,05:55.5,Positive & Negative
15.Orange.39,05:58.5,06:01.7,Positive
15.Yellow.44,06:01.0,06:03.1,Negative
15.Orange.40,06:02.6,06:03.9,Positive
15.Blue.61,06:03.0,06:06.9,Positive & Negative
15.Purple.81,06:05.7,06:06.5,Positive
15.Yellow.45,06:05.7,06:06.5,Positive
15.Purple.84,06:14.3,06:18.2,Positive
15.Purple.85,06:22.3,06:24.5,Positive
15.Yellow.48,06:32.9,06:35.0,Negative
15.Blue.70,06:55.1,06:58.4,Positive
15.Blue.71,06:58.6,07:01.5,Negative
15.Orange.45,07:02.6,07:03.6,Negative
15.Yellow.54,07:16.6,07:17.8,Negative
15.Yellow.55,07:17.8,07:20.8,Negative
15.Blue.77,07:42.5,07:43.6,Positive
15.Orange.53,07:57.6,07:58.9,Positive
15.Orange.55,08:02.0,08:03.5,Positive
15.Orange.57,08:07.2,08:09.4,Negative
15.Blue.81,08:13.9,08:16.9,Positive
15.Blue.82,08:16.9,08:22.3,Negative
15.Blue.83,08:27.4,08:29.5,Positive
15.Blue.89,09:02.5,09:03.5,Positive
15.Orange.67,09:13.2,09:14.4,Negative
15.Orange.69,09:21.2,09:24.6,Positive
15.Purple.125,09:30.7,09:31.8,Positive
15.Orange.70,09:30.9,09:33.3,Positive
15.Purple.127,09:45.0,09:49.1,Negative
15.Orange.73,09:47.6,09:48.9,Positive
15.Orange.74,09:49.4,09:52.6,Positive
15.Blue.96,09:51.0,09:57.1,Positive
15.Blue.99,10:08.7,10:11.4,Positive
15.Orange.75,10:10.4,10:12.5,Positive
15.Yellow.83,10:37.5,10:39.1,Negative
15.Orange.83,10:51.8,10:52.8,Positive
15.Orange.85,11:02.5,11:05.9,Negative
15.Blue.120,11:47.5,11:48.7,Positive
15.Purple.163,12:05.1,12:07.2,Negative
15.Blue.123,12:08.5,12:10.1,Negative
15.Purple.165,12:11.6,12:13.6,Negative
15.Purple.166,12:13.6,12:17.3,Negative
15.Orange.95,12:14.0,12:16.6,Negative
15.Purple.167,12:17.3,12:19.1,Negative
15.Orange.97,12:21.7,12:23.0,Positive
15.Blue.127,12:23.3,12:27.8,Positive
15.Orange.98,12:24.1,12:25.2,Positive
15.Purple.170,12:25.4,12:26.8,Positive
15.Purple.171,12:29.6,12:30.3,Positive
15.Blue.137,13:11.7,13:13.3,Positive
15.Yellow.111,14:42.2,14:44.2,Negative
15.Purple.203,14:42.5,14:45.8,Negative
15.Purple.204,14:45.8,14:48.3,Negative
15.Blue.180,15:32.1,15:34.8,Positive
