Participant,Start,End,Sentiment 
8.Green.2,00:08.4,00:10.5,Positive
8.Green.4,00:15.3,00:18.5,Positive
8.Green.5,00:19.9,00:21.4,Positive
8.Orange.7,00:19.9,00:21.1,Positive
8.Orange.8,00:21.1,00:22.2,Positive
8.Blue.9,00:38.3,00:40.6,Negative
8.Orange.14,00:40.6,00:41.9,Positive & Negative
8.Orange.27,01:34.7,01:35.2,Positive
8.Orange.29,01:39.2,01:42.7,Negative
8.Blue.21,01:42.6,01:43.3,Positive & Negative
8.Green.23,01:42.9,01:45.3,Positive & Negative
8.Orange.30,01:43.3,01:49.3,Positive & Negative
8.Orange.32,01:52.8,01:53.6,Positive
8.Orange.43,02:34.4,02:35.0,Positive
8.Blue.35,03:05.6,03:11.7,Positive
8.Orange.56,03:10.8,03:11.7,Positive
8.Blue.37,03:19.9,03:20.6,Positive
8.Orange.60,03:21.0,03:22.3,Positive
8.Blue.38,03:21.8,03:22.4,Positive
8.Green.40,03:24.6,03:26.2,Positive
8.Orange.69,03:40.2,03:41.0,Positive
8.Green.46,03:42.7,03:44.9,Positive
8.Orange.70,03:42.7,03:43.8,Positive
8.Green.51,04:14.4,04:15.9,Positive
8.Orange.80,04:15.0,04:16.4,Positive
8.Orange.83,04:23.6,04:25.7,Positive
8.Green.54,04:23.8,04:26.6,Positive
8.Orange.89,04:48.5,04:49.5,Positive
8.Orange.95,04:59.7,05:01.3,Positive
8.Green.67,05:00.4,05:01.9,Positive
8.Orange.96,05:01.3,05:02.3,Positive
8.Orange.103,05:20.6,05:22.2,Positive
8.Green.74,05:21.8,05:23.6,Positive
8.Orange.104,05:23.5,05:24.0,Positive
8.Blue.61,05:36.1,05:36.9,Positive
8.Green.77,05:36.5,05:38.2,Positive
8.Green.82,05:58.8,06:00.4,Negative
8.Orange.112,06:00.1,06:01.4,Positive & Negative
8.Orange.114,06:04.9,06:05.7,Positive
8.Orange.115,06:05.7,06:06.7,Positive
8.Orange.117,06:16.7,06:18.0,Positive
8.Green.89,06:20.8,06:22.4,Positive
8.Orange.119,06:22.1,06:23.2,Positive
8.Blue.74,07:04.7,07:06.9,Positive
8.Orange.128,07:06.5,07:07.5,Positive
8.Green.102,07:06.8,07:07.5,Positive
8.Orange.137,07:31.5,07:32.1,Positive
8.Green.110,07:31.8,07:35.1,Positive
8.Green.115,07:46.5,07:51.2,Positive & Negative
8.Orange.141,07:48.4,07:49.5,Negative
8.Orange.142,07:50.2,07:50.8,Positive & Negative
8.Orange.162,08:44.5,08:46.6,Negative
8.Blue.86,08:55.3,08:56.2,Positive
8.Orange.165,08:55.9,08:56.5,Positive
8.Green.133,08:56.1,08:56.8,Positive
