Participant	Start	End	Sentiment 
1.Blue.4	00:11.2	00:12.0	Positive
1.Pink.3	00:11.3	00:12.7	Positive
1.Blue.7	00:23.9	00:25.0	Positive
1.Pink.7	00:24.3	00:25.4	Positive
1.Blue.10	00:30.9	00:31.3	Positive
1.Green.4	00:44.4	00:45.5	Negative
1.Blue.14	00:44.9	00:45.9	Positive
1.Pink.13	00:49.5	00:50.4	Positive
1.Green.5	00:52.5	00:58.0	Negative
1.Green.6	00:58.0	00:59.0	Positive & Negative
1.Pink.26	01:47.0	01:49.0	Positive
1.Pink.27	01:49.0	01:51.4	Positive
1.Pink.33	02:21.2	02:22.0	Positive
1.Blue.38	02:21.5	02:23.9	Positive
1.Pink.34	02:22.1	02:23.0	Positive
1.Blue.39	02:24.3	02:25.4	Positive
1.Blue.43	02:30.7	02:32.1	Positive
1.Pink.37	02:31.3	02:32.5	Positive
1.Blue.45	02:34.1	02:35.4	Negative
1.Blue.46	02:35.4	02:37.3	Positive & Negative
1.Pink.41	02:42.9	02:44.5	Negative
1.Green.24	02:44.1	02:46.5	Negative
1.Pink.42	02:45.7	02:48.0	Positive & Negative
1.Green.25	02:48.0	02:51.1	Negative
1.Green.26	02:51.1	02:52.3	Positive & Negative
1.Blue.55	03:20.3	03:22.0	Positive
1.Blue.56	03:22.0	03:23.1	Positive
1.Pink.49	03:24.4	03:25.3	Positive
1.Green.29	03:27.4	03:28.5	Positive
1.Green.30	03:29.4	03:30.4	Positive
1.Pink.51	03:30.9	03:33.0	Positive
1.Green.31	03:31.4	03:34.2	Positive
1.Pink.52	03:33.0	03:34.4	Positive
1.Blue.60	03:56.5	03:59.0	Positive
1.Green.34	03:59.3	04:00.0	Positive
1.Blue.61	03:59.4	04:00.2	Positive
1.Pink.59	03:59.6	04:00.3	Positive
1.Blue.62	04:00.4	04:01.3	Positive
1.Pink.61	04:08.4	04:09.8	Positive
1.Pink.62	04:10.2	04:12.0	Negative
1.Blue.66	04:13.9	04:15.4	Positive
1.Blue.72	05:08.2	05:08.9	Positive
1.Blue.74	05:09.4	05:10.3	Positive
1.Pink.74	05:10.0	05:10.8	Positive
1.Blue.79	05:23.6	05:26.5	Positive
1.Pink.78	05:24.0	05:27.0	Positive
1.Green.50	05:25.2	05:26.0	Positive
1.Blue.80	05:26.5	05:28.3	Positive
1.Pink.79	05:27.8	05:29.2	Negative
1.Blue.82	05:35.8	05:38.2	Negative
1.Green.61	06:05.7	06:07.0	Positive
1.Blue.94	06:13.6	06:14.7	Positive
1.Blue.95	06:17.3	06:18.5	Positive
1.Pink.92	06:17.4	06:18.7	Positive
1.Pink.94	06:22.2	06:24.4	Negative
1.Pink.95	06:24.4	06:25.6	Positive & Negative
1.Pink.99	06:39.6	06:40.4	Positive
1.Blue.103	06:54.4	06:55.1	Positive
1.Pink.101	07:10.5	07:12.0	Positive
1.Blue.112	07:27.4	07:27.9	Positive
1.Green.76	07:29.9	07:31.3	Positive
1.Blue.114	07:34.6	07:39.1	Negative
1.Pink.104	07:35.6	07:37.5	Negative
1.Pink.105	07:37.5	07:38.9	Positive & Negative
1.Blue.128	08:41.0	08:42.3	Positive
1.Pink.116	08:41.2	08:42.9	Positive
1.Blue.129	08:42.3	08:44.0	Positive
1.Pink.117	08:43.3	08:44.2	Positive
1.Green.94	09:41.4	09:42.1	Positive
1.Pink.122	09:43.4	09:43.8	Positive
