Participant	Start	End	Sentiment 
12.Blue.14	01:38.9	01:40.5	Positive
12.Blue.21	02:03.9	02:07.0	Positive
12.Pink.29	02:10.7	02:12.2	Positive
12.Blue.27	02:52.8	02:58.3	Positive
12.Pink.40	02:57.4	02:58.1	Positive
12.Orange.24	02:57.7	02:58.3	Positive
12.Orange.25	03:04.5	03:06.5	Positive
12.Pink.42	03:06.6	03:09.3	Positive
12.Blue.31	03:08.0	03:14.4	Positive
12.Pink.43	03:10.2	03:11.1	Positive
12.Orange.26	03:14.1	03:15.0	Positive
12.Blue.33	03:16.8	03:17.8	Positive
12.Blue.39	03:51.7	03:54.8	Positive
12.Orange.28	03:52.8	03:55.1	Positive
12.Pink.56	04:02.7	04:03.5	Positive
12.Orange.29	04:03.2	04:07.5	Positive
12.Blue.41	04:07.5	04:08.7	Positive & Negative
12.Orange.33	04:30.9	04:32.7	Positive
12.Orange.34	04:40.8	04:43.6	Positive
12.Blue.54	05:03.3	05:05.8	Positive
12.Blue.55	05:08.7	05:09.5	Positive
12.Pink.65	05:08.8	05:09.7	Positive
