Participant	Start	End	Sentiment 
18.Pink.7	00:30.9	00:37.5	Negative
18.Orange.11	01:09.7	01:14.1	Positive
18.Pink.25	01:53.3	01:55.0	Positive
18.Pink.37	02:38.3	02:40.4	Positive
18.Pink.38	02:41.2	02:42.6	Positive
18.Orange.21	02:41.9	02:42.6	Positive
18.Orange.24	02:51.7	02:55.5	Positive
18.Pink.41	02:53.5	03:02.2	Positive
18.Orange.27	03:07.2	03:08.3	Positive
18.Pink.42	03:08.0	03:09.9	Positive
18.Blue.24	03:08.4	03:09.8	Positive & Negative
18.Pink.45	03:24.3	03:26.1	Positive
18.Pink.55	04:19.7	04:21.8	Positive
18.Blue.33	04:21.1	04:22.5	Positive
18.Pink.56	04:22.8	04:23.7	Positive
18.Blue.38	04:54.1	04:56.7	Positive
18.Blue.39	04:58.8	05:00.1	Positive
18.Blue.43	05:37.5	05:38.5	Positive
18.Pink.72	05:37.8	05:39.4	Positive
18.Blue.47	06:28.7	06:30.6	Positive
18.Pink.97	07:42.9	07:45.0	Positive
18.Pink.111	08:30.6	08:32.0	Positive
18.Orange.63	08:44.4	08:46.7	Negative
18.Pink.118	08:51.7	08:55.2	Positive
18.Pink.127	09:35.3	09:38.5	Negative
18.Orange.68	09:47.3	09:54.5	Positive
18.Pink.131	09:52.8	09:54.9	Positive
18.Orange.69	09:54.5	09:58.1	Positive
18.Pink.171	12:57.1	12:59.4	Positive & Negative
18.Pink.175	13:19.2	13:22.1	Positive & Negative
18.Orange.84	13:32.1	13:34.0	Negative
18.Pink.181	13:49.0	13:51.2	Positive
18.Blue.93	14:35.4	14:36.4	Positive
18.Pink.194	14:36.4	14:37.8	Positive
18.Pink.204	15:05.0	15:07.7	Negative
