Participant	Start	End	Sentiment 
28.Pink.2	00:11.8	00:13.7	Positive
28.Blue.10	00:44.7	00:45.4	Negative
28.Pink.4	00:45.5	00:46.6	Positive
28.Pink.6	00:51.6	00:54.5	Positive
28.Blue.12	00:53.3	00:58.3	Positive
28.Pink.13	01:42.3	01:43.9	Positive
28.Orange.25	01:44.1	01:44.9	Positive
28.Blue.32	02:14.3	02:16.9	Positive
28.Pink.22	03:46.1	03:47.5	Positive
28.Blue.53	03:52.4	03:53.7	Negative
28.Pink.23	03:52.5	03:53.4	Positive
28.Blue.57	04:09.3	04:14.9	Negative
28.Pink.26	04:21.1	04:22.4	Positive
28.Blue.59	04:24.6	04:29.1	Positive
28.Blue.61	04:31.2	04:32.5	Positive
28.Orange.61	04:41.2	04:42.0	Positive
28.Blue.74	05:33.0	05:34.8	Negative
28.Pink.30	05:35.9	05:39.6	Positive & Negative
28.Blue.76	05:36.0	05:38.4	Positive & Negative
28.Orange.81	06:09.3	06:10.7	Positive
28.Blue.86	06:10.1	06:11.7	Positive
28.Pink.37	06:16.9	06:18.7	Positive
28.Blue.88	06:17.0	06:19.2	Positive & Negative
28.Orange.84	06:18.0	06:20.2	Negative
28.Blue.94	06:38.3	06:39.4	Positive
28.Pink.43	08:07.9	08:11.8	Positive
28.Blue.115	08:09.7	08:10.9	Positive
28.Pink.45	08:31.1	08:33.0	Positive
28.Orange.119	08:31.1	08:34.3	Positive
28.Blue.120	08:31.5	08:34.0	Positive
28.Blue.121	08:34.0	08:36.6	Negative
28.Pink.47	08:39.3	08:41.2	Positive
28.Orange.123	09:13.7	09:18.6	Positive
28.Blue.132	09:17.2	09:18.3	Negative
28.Pink.51	09:19.4	09:21.3	Positive
28.Blue.133	09:19.4	09:20.5	Positive
28.Blue.134	09:20.5	09:21.8	Positive
28.Orange.129	09:58.2	09:59.3	Negative
28.Blue.145	09:59.3	10:00.2	Negative
28.Orange.139	10:48.8	10:49.7	Positive
28.Pink.63	11:05.1	11:06.7	Positive
28.Orange.156	12:13.3	12:13.9	Positive
28.Blue.185	12:44.6	12:45.6	Positive
28.Pink.73	13:13.5	13:14.0	Positive
28.Pink.74	13:14.0	13:17.0	Positive
28.Blue.192	13:16.3	13:19.4	Positive
28.Orange.164	13:16.4	13:22.9	Positive
28.Pink.75	13:17.0	13:18.2	Positive
28.Blue.193	13:22.9	13:24.8	Positive
28.Orange.165	13:23.0	13:28.0	Positive
28.Pink.77	13:23.0	13:24.8	Positive
28.Blue.196	13:46.6	13:48.1	Positive
28.Pink.79	13:46.9	13:47.8	Positive
28.Orange.173	14:04.4	14:05.9	Positive
28.Blue.203	14:11.4	14:12.7	Positive
28.Blue.204	14:13.5	14:15.1	Positive
