Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
12.Blue.1,00:04.0,00:06.8,00:02.8,,,,,"""Okay, so what did everyone put for their most important?"""
12.Green.1,00:07.9,00:09.9,00:02.0,,,Private,Flashlight,"""Uh, I said flashlight with batteries."""
12.Pink.1,00:09.5,00:10.1,00:00.7,,,Private,Flashlight,"""I did too."""
12.Green.2,00:10.5,00:11.0,00:00.5,,,,,"""Yeah."""
12.Blue.2,00:10.7,00:12.0,00:01.2,,,Private,Compass,"""I-I said compass."""
12.Orange.1,00:11.8,00:12.7,00:00.9,,,Private,Compass,"""I said compass."""
12.Pink.2,00:12.9,00:13.5,00:00.7,,,,,"""Okay."""
12.Blue.3,00:13.4,00:14.5,00:01.1,,,,,"""My second was --"""
12.Pink.3,00:13.8,00:18.4,00:04.6,,,,,"""I thought of it but like but I was like if they can't see where they're going then probably not."""
12.Green.3,00:17.7,00:19.7,00:02.0,,,,,"""Yeah, that's what I thought."""
12.Blue.4,00:19.5,00:19.8,00:00.3,,,,,"""Yeah."""
12.Orange.2,00:20.0,00:27.7,00:07.7,,,Private,"Air Map, Compass","""Yeah, tha-that was my number three just cause I was like you kind of need like the map and the compass first just to figure out like your --"""
12.Blue.5,00:22.0,00:22.3,00:00.3,,,,,"""Same."""
12.Pink.4,00:26.6,00:27.7,00:01.1,,,,,"""Like where we're going."""
12.Orange.3,00:27.7,00:34.0,00:06.3,,,,,"""Yeah, cause the pilot had said like they are like eighty miles or something."""
12.Pink.5,00:32.7,00:33.8,00:01.2,,,,,"""Miles away."""
12.Pink.6,00:33.8,00:35.1,00:01.3,,,,Compass,"""Yeah, so you need the comp --"""
12.Orange.4,00:34.0,00:34.6,00:00.6,,,,,"""Yeah."""
12.Pink.7,00:35.1,00:36.5,00:01.3,,,,,"""Yeah, I had that as three as well."""
12.Pink.8,00:38.3,00:39.4,00:01.1,,,,,"""Um $."""
12.Blue.6,00:40.5,00:42.9,00:02.4,,,Private,Shirt/Pants,"""I had the extra shirt and pants as second."""
12.Blue.7,00:42.9,00:47.8,00:04.9,,,,,"""Just because they talked about the weather being so cold and that they weren't really equipped for it."""
12.Green.4,00:48.9,00:50.7,00:01.8,,,,,"""Oh, that make sense, yeah."""
12.Orange.5,00:50.9,00:51.4,00:00.5,,,,,"""Yeah."""
12.Green.5,00:51.2,00:53.4,00:02.2,,,,,"""Like way down the list [unclear]."""
12.Orange.6,00:51.7,00:53.0,00:01.4,,,,,"""I-I kind of --"""
12.Orange.7,00:53.7,00:59.6,00:05.9,,,Private,Shirt/Pants,"""I put it at -- just at number seven because like when you crashed it was 11:30 in the morning."""
12.Orange.8,00:59.6,01:05.4,00:05.8,,,,,"""So, you kind of had time to deal with that stuff and figure yourself before it got really cold."""
12.Pink.9,01:01.5,01:02.2,00:00.7,,,,,"""Figure out."""
12.Blue.8,01:05.4,01:06.0,00:00.6,,,,,"""Mhm."""
12.Orange.9,01:05.6,01:07.7,00:02.1,,,,,"""Even though it's not warm to begin with."""
12.Pink.10,01:05.7,01:06.2,00:00.5,,,,,"""Yeah."""
12.Pink.11,01:09.9,01:11.1,00:01.2,,,,,"""What should I put as one?"""
12.Pink.12,01:11.2,01:13.1,00:01.9,,,,"Compass, Flashlight","""The compass or the flashlight?"""
12.Blue.9,01:13.0,01:14.2,00:01.1,,Proposal,,Compass,"""I think compass first."""
12.Orange.10,01:14.1,01:15.4,00:01.3,,Agreement,,Compass,"""Probably compass, yeah."""
12.Blue.10,01:14.6,01:17.6,00:02.9,,,,Compass,"""Cause they can travel during the day with the compass."""
12.Blue.11,01:17.6,01:19.9,00:02.3,,,,Flashlight,"""If they didn't have a flashlight they can just rest."""
12.Pink.13,01:19.6,01:20.2,00:00.6,,Agreement,,,"""Yeah."""
12.Orange.11,01:20.1,01:20.7,00:00.6,,Agreement,,,"""Mhm."""
12.Pink.14,01:20.4,01:20.9,00:00.5,,Agreement,,,"""Okay."""
12.Pink.15,01:21.6,01:23.1,00:01.4,,,,,"""And then, number two."""
12.Blue.12,01:25.9,01:27.7,00:01.7,,Proposal,,Flashlight,"""I would say flashlight for number two."""
