Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
18.Pink.1,00:00.1,00:01.3,00:01.2,,,,,"""What did you guys put for number one?"""
18.Blue.1,00:01.5,00:04.5,00:03.0,,Proposal,Private,Shirt/Pants,"""Uh, I said the extra shirt and pants."""
18.Pink.2,00:04.1,00:04.6,00:00.5,,Agreement,Private,Shirt/Pants,"""Me too."""
18.Blue.2,00:05.2,00:06.4,00:01.2,,,,,"""Is this the number two?"""
18.Pink.3,00:06.5,00:07.0,00:00.5,,,,,"""Yeah."""
18.Orange.1,00:08.1,00:09.4,00:01.3,,Proposal,Private,Compass,"""I said compass."""
18.Orange.2,00:09.7,00:12.8,00:03.1,,,Private,Shirt/Pants,"""But I put the extra shirt like somewhere at the top."""
18.Pink.4,00:12.9,00:13.2,00:00.4,,,,,"""Yeah."""
18.Orange.3,00:13.4,00:15.9,00:02.5,,,Private,Compass,"""I just said compass because I feel like you don't know where to go."""
18.Orange.4,00:15.9,00:22.4,00:06.6,,Disagreement,,Shirt/Pants,"""Even if you have the extra clothes you won't be able to survive there for long enough unless you know where to start going towards."""
18.Orange.5,00:22.8,00:23.9,00:01.1,,,,,"""That's the only reason why."""
18.Pink.5,00:23.2,00:23.6,00:00.4,,,,,"""Yeah."""
18.Pink.6,00:26.0,00:28.5,00:02.5,,,,,"""So, what do you think would be number one $?"""
18.Orange.6,00:28.2,00:29.5,00:01.4,,Agreement,,,"""You guys are probably right."""
18.Orange.7,00:29.5,00:32.5,00:02.9,,,,,"""Well, how would you survive in minus twenty-five degrees?"""
18.Pink.7,00:30.9,00:37.5,00:06.6,Negative,,,Shirt/Pants,"""I just think like if I was in that situation I'd want like extra clothing cause if you're like really cold."""
18.Blue.3,00:34.5,00:35.1,00:00.6,,,,,"""Yeah."""
18.Orange.8,00:35.9,00:36.8,00:00.9,,Agreement,,,"""Yeah, you're right."""
18.Pink.8,00:37.8,00:39.7,00:01.9,,,,,"""So, I don't know [unclear]."""
18.Blue.4,00:39.1,00:41.3,00:02.1,,,,,"""So [unclear] yeah."""
18.Pink.9,00:41.3,00:42.1,00:00.8,,,,,"""Okay."""
18.Pink.10,00:42.3,00:46.6,00:04.3,,,,,"""Um, what -- what did you put for two?"""
18.Blue.5,00:44.5,00:45.1,00:00.6,,,,,"""Uh."""
18.Blue.6,00:46.6,00:47.8,00:01.2,,,Private,Knife,"""I said the knife."""
18.Pink.11,00:47.8,00:48.2,00:00.5,,,,,"""Okay."""
18.Blue.7,00:48.8,00:49.4,00:00.6,,,,,"""Um."""
18.Pink.12,00:49.0,00:50.5,00:01.5,,,Private,Knife,"""Yeah, knife is my top."""
18.Blue.8,00:50.4,00:50.9,00:00.5,,,,,"""Yeah."""
18.Pink.13,00:50.5,00:51.6,00:01.1,,,Private,Knife,"""It's my number four."""
18.Orange.9,00:52.0,00:52.5,00:00.5,,,Private,Knife,"""Same."""
18.Pink.14,00:52.9,01:00.7,00:07.8,,,Private,Cigarette Lighter,"""Yeah, I put, um, I guess I just put cigarette lighter like I guess to use for if you need make a fire or something."""
18.Blue.9,00:57.5,00:58.0,00:00.5,,,,,"""Mhm."""
18.Pink.15,01:00.7,01:01.3,00:00.6,,,,,"""I don't know."""
18.Blue.10,01:00.9,01:01.5,00:00.5,,,,,"""Yeah."""
18.Pink.16,01:01.3,01:06.0,00:04.7,,,,Cigarette Lighter,"""But-but possibly that wouldn't be very helpful for like you didn't have anything to make a fire."""
18.Pink.17,01:06.0,01:06.6,00:00.6,,,,,"""I don't know."""
18.Pink.18,01:06.6,01:08.1,00:01.5,,,,,"""Cause then I can --"""
18.Orange.10,01:06.9,01:08.1,00:01.2,,,,Cigarette Lighter,"""Because it's three."""
18.Pink.19,01:08.4,01:08.9,00:00.5,,,,,"""Mhm."""
18.Orange.11,01:09.7,01:14.1,00:04.4,Positive,Proposal,,Chocolate Bar,"""I thought two, the chocolate, just cause it would keep you warm."""
18.Orange.12,01:15.2,01:17.8,00:02.6,,,,Chocolate Bar,"""Again, it's just like an energy thing."""
18.Pink.20,01:18.1,01:19.7,00:01.6,,Agreement,,,"""Okay, that makes sense."""
18.Orange.13,01:19.1,01:21.0,00:01.9,,,,,"""Not everyone is like full on energy."""
18.Pink.21,01:21.3,01:21.8,00:00.5,,,,,"""Yeah."""
18.Pink.22,01:22.8,01:35.5,00:12.7,,,,Knife,"""Um... I feel like... like the knife, yeah that makes sense as well."""
18.Orange.14,01:35.5,01:36.1,00:00.5,,,,,"""Mhm."""
