Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
2.Pink.1,00:01.2,00:01.5,00:00.3,,,"""Okay."""
2.Blue.1,00:01.6,00:03.5,00:01.9,,,"""Okay, we have the same number one, so."""
2.Pink.2,00:01.6,00:02.0,00:00.3,,,"""So."""
2.Pink.3,00:02.9,00:03.8,00:01.0,,,"""Okay, so same number one."""
2.Blue.2,00:03.7,00:04.3,00:00.7,,,"""Yeah."""
2.Pink.4,00:03.8,00:05.5,00:01.7,,Confirmation,"""Extra shirt and pants for each survivor."""
2.Pink.5,00:06.3,00:08.5,00:02.3,,,"""Um, for number two, I picked compass."""
2.Blue.3,00:08.7,00:09.6,00:00.9,,,"""What did I pick?"""
2.Blue.4,00:09.6,00:10.8,00:01.2,,,"""I picked a flashlight."""
2.Blue.5,00:10.8,00:13.7,00:02.9,,,"""I thought being able to see in the nighttime was pretty important."""
2.Pink.6,00:11.1,00:11.8,00:00.8,,,"""Flashlight."""
2.Pink.7,00:14.3,00:14.9,00:00.7,,,"""Okay."""
2.Blue.6,00:14.6,00:17.3,00:02.6,,,"""Like you wouldn't be able to look at a compass without a light."""
2.Pink.8,00:15.7,00:16.2,00:00.5,,,"""Yep."""
2.Pink.9,00:17.0,00:19.7,00:02.7,,,"""Um, for three, I picked flashlight."""
2.Pink.10,00:19.7,00:20.6,00:00.9,,,"""So I guess compass?"""
2.Pink.11,00:20.6,00:22.4,00:01.8,,,"""What did you pick -- what did you pick for number three?"""
2.Blue.7,00:22.4,00:23.4,00:01.0,,,"""Cigarette lighter."""
2.Blue.8,00:23.4,00:28.5,00:05.1,,,"""I figure you can probably with your steel wool and your whiskey make some sort of fire."""
2.Blue.9,00:28.9,00:34.3,00:05.4,,,"""Cause alcohol is super flammable and steel wool is really good for making friction."""
2.Pink.12,00:34.8,00:35.5,00:00.8,,,"""Okay."""
2.Pink.13,00:36.8,00:37.7,00:00.9,,Proposal,"""We'll do that for three."""
2.Pink.14,00:38.1,00:40.5,00:02.4,,,"""Um, for four, I had a compress kit."""
2.Blue.10,00:40.5,00:42.9,00:02.3,,,"""I didn't think that was very important."""
2.Pink.15,00:42.7,00:44.0,00:01.4,,,"""But what if you get injured?"""
2.Blue.11,00:44.4,00:49.4,00:05.0,Positive,,"""Uh, it's probably important then $."""
2.Pink.16,00:44.5,00:45.6,00:01.1,,,"""And you're bleeding a lot."""
2.Pink.17,00:48.9,00:49.2,00:00.3,Positive,,"""$"""
2.Blue.12,00:49.4,00:51.2,00:01.8,,Proposal,"""Just -- yeah you could put that one next."""
2.Pink.18,00:49.4,00:50.0,00:00.6,,,"""Okay so."""
2.Pink.19,00:50.8,00:52.3,00:01.5,,Agreement,"""Yeah we'll do [unclear]."""
2.Blue.13,00:51.2,00:52.9,00:01.7,,,"""We'll, uh, save the people."""
2.Pink.20,00:52.8,00:53.2,00:00.4,,,"""Yeah."""
2.Pink.21,00:53.2,00:56.3,00:03.1,,,"""Uh, number five, I picked knife."""
2.Blue.14,00:57.0,00:59.0,00:02.0,,,"""Uh, I had my steel wool."""
2.Blue.15,00:59.9,01:01.9,00:02.0,,,"""And I also -- what did I have for number four?"""
