Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
22.Blue.1,00:00.0,00:01.8,00:01.8,,,"""What do you find was the most important?"""
22.Pink.1,00:02.0,00:03.7,00:01.7,,,"""I put number one compass."""
22.Blue.2,00:03.9,00:04.7,00:00.8,,,"""Oh okay."""
22.Blue.3,00:04.7,00:05.3,00:00.6,,,"""And you?"""
22.Orange.1,00:05.3,00:08.0,00:02.7,,,"""I had it for the clothes, extra clothes."""
22.Blue.4,00:08.8,00:11.4,00:02.6,,,"""See and I had it for the food."""
22.Blue.5,00:11.4,00:18.4,00:07.0,,,"""Cause I'm thinking of the Maslow thing, it was like food and shelter and then, um, and then work your way up right, so."""
22.Pink.2,00:16.0,00:16.8,00:00.8,,,"""Mhm."""
22.Blue.6,00:18.4,00:21.6,00:03.2,,,"""So guys, what should we -- which is most important?"""
22.Blue.7,00:21.9,00:22.7,00:00.8,,,"""It's snowing."""
22.Blue.8,00:22.7,00:23.8,00:01.0,,,"""We're stranded."""
22.Blue.9,00:24.1,00:26.2,00:02.2,,,"""We have a -- we know where we are."""
22.Orange.2,00:26.2,00:26.9,00:00.7,,,"""Mhm."""
22.Blue.10,00:26.9,00:27.5,00:00.7,,,"""Um."""
22.Blue.11,00:29.6,00:32.8,00:03.1,,,"""But it says that it could drop to forty below, so."""
22.Blue.12,00:33.1,00:33.6,00:00.6,,,"""Which one?"""
22.Blue.13,00:33.7,00:36.4,00:02.8,,,"""Compass, food, or warmth?"""
22.Blue.14,00:38.3,00:39.1,00:00.8,,,"""Which one?"""
22.Pink.3,00:38.7,00:40.1,00:01.5,,Proposal,"""Go for warmth."""
22.Blue.15,00:40.1,00:41.3,00:01.2,,Agreement,"""Warmth okay."""
22.Orange.3,00:40.7,00:41.1,00:00.4,,,"""Four?"""
22.Orange.4,00:41.4,00:42.0,00:00.5,,Agreement,"""Okay."""
22.Blue.16,00:42.3,00:44.1,00:01.9,,,"""So, what did you pick for two?"""
22.Pink.4,00:45.6,00:46.5,00:01.0,,,"""I, um."""
22.Orange.5,00:46.4,00:47.8,00:01.4,,Proposal,"""I said flashlight."""
22.Pink.5,00:47.3,00:48.7,00:01.4,,Agreement,"""Yeah, me too."""
22.Blue.17,00:48.7,00:50.1,00:01.5,,Agreement,"""Okay, that's it then."""
22.Blue.18,00:50.2,00:51.3,00:01.2,,,"""Oh my goodness."""
22.Blue.19,00:52.2,00:53.5,00:01.3,,,"""And number three?"""
22.Orange.6,00:54.5,00:55.2,00:00.7,,,"""I said the knife."""
22.Orange.7,00:55.2,00:59.5,00:04.3,,,"""But I think like knife or rope or compass, any of those can kind of go in that order."""
22.Pink.6,00:57.2,00:58.1,00:00.9,,,"""Yeah."""
22.Pink.7,00:59.3,01:00.9,00:01.6,,,"""I put the rope as three."""
22.Pink.8,01:00.9,01:03.0,00:02.1,,,"""But I -- the map was four."""
22.Pink.9,01:03.1,01:05.2,00:02.1,,,"""So, yeah, that was really close for me."""
22.Pink.10,01:05.2,01:06.2,00:01.0,,,"""What did you have?"""
22.Blue.20,01:06.6,01:07.7,00:01.1,,,"""For, um?"""
22.Pink.11,01:07.6,01:08.4,00:00.8,,,"""Three."""
22.Blue.21,01:09.0,01:12.1,00:03.1,,,"""I put the warmth % the clothes."""
22.Blue.22,01:12.1,01:13.7,00:01.6,,,"""So, I'm way off."""
22.Blue.23,01:13.9,01:15.0,00:01.1,,,"""Uh."""
22.Orange.8,01:14.7,01:21.2,00:06.5,,,"""I think anything, like the wool, or the pistol, compass, knife, rope, depends what we need, but."""
22.Blue.24,01:21.7,01:23.4,00:01.8,,,"""Okay, so, let's --"""
22.Pink.12,01:22.8,01:24.5,00:01.7,,,"""So you had knife, didn't you?"""
22.Orange.9,01:24.5,01:26.2,00:01.7,,,"""I had knife as three, yeah."""
22.Pink.13,01:25.6,01:27.3,00:01.7,,Proposal,"""Should we do knife as three?"""
22.Blue.25,01:27.0,01:27.6,00:00.5,,Agreement,"""Okay."""
22.Blue.26,01:29.1,01:31.0,00:01.9,,Confirmation,"""So, we're going for four."""
22.Pink.14,01:31.4,01:32.5,00:01.1,,,"""I had rope."""
22.Pink.15,01:32.6,01:34.1,00:01.5,,,"""Oh no, I had knife as four."""
22.Pink.16,01:34.1,01:35.9,00:01.7,,,"""I had rope for three."""
22.Blue.27,01:35.9,01:37.1,00:01.3,,,"""So, why rope?"""
22.Pink.17,01:38.0,01:40.2,00:02.2,,,"""In case you needed to get across somewhere."""
22.Orange.10,01:40.1,01:40.8,00:00.7,,,"""Mhm."""
22.Pink.18,01:40.2,01:42.4,00:02.2,,,"""Or make up a shelter."""
22.Pink.19,01:42.7,01:44.7,00:02.1,,,"""You could use it to tie things together."""
22.Orange.11,01:43.0,01:44.2,00:01.2,,,"""That's what I said, yeah."""
22.Orange.12,01:44.2,01:45.9,00:01.7,,,"""You can use things to build stuff."""
22.Pink.20,01:46.0,01:46.5,00:00.6,,,"""Yeah."""
22.Blue.28,01:46.5,01:48.3,00:01.8,,,"""So you're saying rope is four?"""
22.Orange.13,01:48.4,01:49.4,00:01.0,,,"""I had the pistol."""
22.Orange.14,01:49.4,01:52.9,00:03.5,,,"""But then I had the rope like right afterwards, so."""
22.Blue.29,01:53.2,01:54.6,00:01.4,,,"""So, what about food?"""
22.Blue.30,01:54.6,01:56.1,00:01.5,,,"""I mean, what happens if you --"""
