Participant,Start,End,Duration,Sentiment,Decision ,Sentence
23.Orange.1,00:01.3,00:02.6,00:01.3,,,"""Okay, what's your name?"""
23.Blue.1,00:02.6,00:03.0,00:00.4,,,"""[unclear]"""
23.Orange.2,00:03.0,00:04.1,00:01.1,,,"""Catherine, I'm Emma."""
23.Orange.3,00:04.1,00:09.8,00:05.7,,,"""Okay, um, okay so what did you put down for your-your first one?"""
23.Blue.2,00:04.1,00:04.6,00:00.5,,,"""Kay."""
23.Blue.3,00:09.9,00:11.5,00:01.6,,,"""Um, the extra shirt and pants."""
23.Orange.4,00:12.0,00:13.1,00:01.1,,,"""Really okay."""
23.Blue.4,00:12.5,00:13.1,00:00.6,,,"""Yeah."""
23.Orange.5,00:13.4,00:16.3,00:02.9,,,"""I put the compass as for me first."""
23.Blue.5,00:14.9,00:15.8,00:00.9,,,"""Oh, really?"""
23.Blue.6,00:16.6,00:17.5,00:00.9,,,"""Oh wow."""
23.Blue.7,00:17.5,00:18.6,00:01.1,,,"""That was like my fourth."""
23.Orange.6,00:18.8,00:19.7,00:00.9,,,"""Four, okay."""
23.Blue.8,00:19.0,00:20.2,00:01.2,Positive,,"""Yeah $."""
23.Orange.7,00:19.7,00:22.2,00:02.5,,,"""Cause the extra shirt and pants was my fifth."""
23.Blue.9,00:22.5,00:23.4,00:00.9,,,"""Oh wow."""
23.Orange.8,00:23.8,00:24.4,00:00.6,,,"""But --"""
23.Blue.10,00:23.8,00:32.6,00:08.8,Positive & Negative,,"""Yeah cause I was just like, um, yeah cause the shirt and pants I was like, uh, if you freeze to death, you're there's no point in anything else $."""
23.Orange.9,00:24.9,00:26.2,00:01.3,,,"""I get where you're coming from though."""
23.Orange.10,00:28.6,00:29.7,00:01.1,,,"""It's minus forty."""
23.Orange.11,00:32.6,00:35.0,00:02.4,Negative,,"""That's that is true, cause y-if you're freezing."""
23.Blue.11,00:33.2,00:34.1,00:00.8,,,"""Yeah, right."""
23.Blue.12,00:34.4,00:37.8,00:03.4,,,"""But the compass too is also super important because how are you going to an --"""
23.Orange.12,00:37.5,00:38.2,00:00.7,,,"""Anywhere."""
23.Blue.13,00:38.8,00:40.9,00:02.0,,,"""And nobody's going to find you in the south of Manitoba."""
23.Blue.14,00:41.0,00:42.5,00:01.6,,,"""Especially cause there's like nothing."""
23.Orange.13,00:42.7,00:44.8,00:02.1,Positive,,"""Yeah, it's Manitoba $."""
