Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
26.Pink.1,00:01.0,00:03.2,00:02.2,,,,,"""Okay, so let's go down the line."""
26.Pink.2,00:03.8,00:06.0,00:02.2,,,,Compress Kit,"""Um, what did you guys write for compress kit?"""
26.Blue.1,00:06.0,00:07.9,00:01.9,,,Private,Compress Kit,"""Um, I put that as number one."""
26.Blue.2,00:08.0,00:10.4,00:02.4,,,,Compress Kit,"""Cause I think first aid is important."""
26.Blue.3,00:10.4,00:13.2,00:02.8,,,,,"""Cause if someone is injured, then they need to survive."""
26.Pink.3,00:11.6,00:12.5,00:00.9,,,,,"""Mhm."""
26.Pink.4,00:13.0,00:13.7,00:00.7,,,,,"""Yeah."""
26.Blue.4,00:13.4,00:14.3,00:00.9,,,,,"""Yeah."""
26.Orange.1,00:13.7,00:16.1,00:02.5,,,Private,Compress Kit,"""Um, I put it as number five."""
26.Orange.2,00:16.1,00:19.0,00:02.9,,,Private,Shirt/Pants,"""Cause I thought number one would be clothing."""
26.Pink.5,00:19.0,00:19.9,00:00.9,,,,,"""Okay."""
26.Pink.6,00:20.0,00:21.3,00:01.3,,,Private,Shirt/Pants,"""I wrote number four."""
26.Pink.7,00:21.3,00:25.1,00:03.7,,,Private,Compass,"""Cause I put like compass and like --"""
26.Pink.8,00:25.8,00:28.6,00:02.8,,,,Air Map,"""Wait, what's an air map made of plastic?"""
26.Pink.9,00:29.8,00:30.8,00:01.0,,,,Air Map,"""Like a map?"""
26.Orange.3,00:32.7,00:36.8,00:04.0,,,,Air Map,"""Um, I was -- in my head, I thought just like a, a kinda like a tarp, like a plastic."""
26.Pink.10,00:36.6,00:37.9,00:01.3,,,,,"""Yeah okay."""
26.Orange.4,00:37.1,00:37.8,00:00.7,,,,,"""Yeah."""
26.Pink.11,00:37.9,00:39.0,00:01.1,,,Private,Air Map,"""I put that as number two."""
26.Pink.12,00:39.0,00:39.8,00:00.8,,,,,"""$"""
26.Pink.13,00:39.8,00:42.8,00:03.0,,Proposal,,Compress Kit,"""But, yeah, no we can do the compress kit as number one."""
26.Orange.5,00:41.7,00:42.8,00:01.1,,,,,"""As number one?"""
26.Pink.14,00:42.8,00:44.7,00:01.9,,,,Compress Kit,"""Yeah, cause it's important."""
26.Orange.6,00:42.8,00:43.5,00:00.6,,Agreement,,,"""Okay."""
26.Pink.15,00:45.8,00:48.2,00:02.5,,,,Cigarette Lighter,"""What did you guys put for the cigarette lighter without fluid?"""
26.Blue.5,00:48.9,00:50.9,00:02.0,,,Private,Cigarette Lighter,"""Um, I wrote ten."""
26.Blue.6,00:50.9,00:53.0,00:02.1,,,,,"""I think more things are important."""
26.Pink.16,00:52.6,00:54.8,00:02.1,,,Private,Cigarette Lighter,"""Yeah, mine was also ten."""
26.Blue.7,00:54.1,00:54.8,00:00.6,,,,,"""Yeah."""
26.Orange.7,00:54.4,00:55.7,00:01.3,,,Private,Cigarette Lighter,"""Mine was fourteen $."""
26.Orange.8,00:55.7,00:58.9,00:03.2,,,,Cigarette Lighter,"""Cause it's kinda useless without fluid in it."""
26.Pink.17,00:57.5,00:58.8,00:01.2,,,,,"""Yeah, exactly."""
26.Pink.18,00:58.8,01:02.1,00:03.3,,,,Cigarette Lighter,"""I was thinking we could use it as some sort of tool, but."""
26.Pink.19,01:02.2,01:03.1,00:00.9,,,,,"""Um."""
26.Pink.20,01:03.9,01:05.5,00:01.6,,,,,"""Yeah, I don't know."""
26.Orange.9,01:05.9,01:10.7,00:04.7,,,,,"""Should we just go from, um, what would think like, from most important to least important?"""
26.Orange.10,01:10.7,01:11.9,00:01.3,,,,,"""It's easier."""
26.Blue.8,01:11.5,01:13.3,00:01.7,,,,,"""Yeah, yeah."""
26.Pink.21,01:11.9,01:12.5,00:00.7,,,,,"""Yeah."""
26.Orange.11,01:11.9,01:13.1,00:01.2,,,,,"""Instead of going down like."""
26.Pink.22,01:12.5,01:14.1,00:01.5,,,,,"""Instead of going in line, sure."""
26.Orange.12,01:13.3,01:14.0,00:00.8,,,,,"""Yeah."""
26.Orange.13,01:14.1,01:15.6,00:01.5,,,,Compress Kit,"""So, the first one we said compress kit."""
26.Pink.23,01:15.6,01:16.3,00:00.7,,,,,"""Yes."""
26.Orange.14,01:15.7,01:17.7,00:02.0,,,,,"""And then the second one, what did you guys think?"""
26.Pink.24,01:17.2,01:18.8,00:01.6,,Proposal,,Compass,"""I feel like compass is really important."""
26.Pink.25,01:18.8,01:27.8,00:09.0,,,,,"""Because up in here, it said that there was, um, a town, yeah like eighty miles at-northwest so."""
26.Orange.15,01:23.6,01:25.8,00:02.2,,Agreement,,,"""A town nearby, yep."""
26.Orange.16,01:26.8,01:27.8,00:01.1,,Agreement,,,"""Mhm."""
26.Blue.9,01:27.4,01:29.1,00:01.7,,Agreement,,Compass,"""We can do compass for two."""
26.Orange.17,01:28.3,01:29.6,00:01.3,,Agreement,,Compass,"""Yeah I agree with that too."""
26.Pink.26,01:29.7,01:34.4,00:04.7,,,,,"""It's a long distance but you could make it [unclear]."""
26.Orange.18,01:33.1,01:39.1,00:06.0,,Proposal,Private,Flashlight,"""And for number three, would it, um, I was thinking maybe it would be flashlight and batteries."""
