Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
8.Blue.1,00:02.6,00:03.2,00:00.6,,,,,"""Alright."""
8.Green.1,00:03.3,00:04.4,00:01.1,,,,,"""[unclear]"""
8.Orange.1,00:03.8,00:08.6,00:04.8,,,,,"""Um, what did you guys have for n-your first um... option for most impor --"""
8.Blue.2,00:07.7,00:08.5,00:00.8,,,Private,Compass,"""I put compass."""
8.Green.2,00:08.4,00:10.5,00:02.2,Positive,,Private,Compass,"""I put compass as well $."""
8.Orange.2,00:08.6,00:09.9,00:01.2,,,Private,Compass,"""I put compass, too."""
8.Orange.3,00:09.9,00:11.5,00:01.7,,Proposal,,,"""Okay, I think that's the safe bet."""
8.Blue.3,00:10.6,00:11.1,00:00.5,,Agreement,,,"""Alright."""
8.Green.3,00:11.7,00:12.3,00:00.6,,Agreement,,,"""Alright."""
8.Orange.4,00:12.6,00:16.0,00:03.4,,,,,"""Um, cause then you can try to go where there's --"""
8.Green.4,00:15.3,00:18.5,00:03.2,Positive,,,,"""At least you can navigate and figure out where you going so, $."""
8.Orange.5,00:16.5,00:17.0,00:00.5,,,,,"""Yeah."""
8.Blue.4,00:18.5,00:19.8,00:01.3,,,Private,Knife,"""Uh, number two I said knife."""
8.Orange.6,00:18.6,00:19.1,00:00.5,,,,,"""Um."""
8.Green.5,00:19.9,00:21.4,00:01.5,Positive,,Private,Knife,"""I said knife too $."""
8.Orange.7,00:19.9,00:21.1,00:01.3,Positive,,Private,Knife,"""I also said knife."""
8.Orange.8,00:21.1,00:22.2,00:01.1,Positive,,,,"""Okay $."""
8.Green.6,00:23.3,00:23.9,00:00.6,,,,,"""Look at us."""
8.Orange.9,00:24.3,00:27.8,00:03.5,,,Private,Shirt/Pants,"""Um, three, I put the extra shirt and pants for each survivor."""
8.Green.7,00:27.4,00:28.0,00:00.6,,,Private,Shirt/Pants,"""So did I."""
8.Blue.5,00:28.0,00:28.8,00:00.8,,,Private,Air Map,"""I put map."""
8.Orange.10,00:29.1,00:29.6,00:00.6,,,,,"""Okay."""
8.Orange.11,00:30.6,00:31.2,00:00.6,,,,,"""Um."""
8.Blue.6,00:31.1,00:33.1,00:02.0,,,,Shirt/Pants,"""But yeah, that makes a little more sense, yeah."""
8.Green.8,00:31.8,00:33.0,00:01.3,,,,,"""Very specifically."""
8.Orange.12,00:32.4,00:36.2,00:03.8,,,,,"""I mean, it's looking at negative forty at night, but."""
8.Blue.7,00:33.7,00:34.4,00:00.7,,,,,"""It's cold."""
8.Green.9,00:35.6,00:38.8,00:03.2,,,,,"""Yeah, I was about to say it's like really cold, so."""
8.Blue.8,00:36.0,00:36.4,00:00.4,,,,,"""Yeah."""
8.Orange.13,00:37.8,00:38.4,00:00.6,,,,,"""Um."""
8.Blue.9,00:38.3,00:40.6,00:02.3,Negative,,,,"""No use knowing where you're going if you freeze to death."""
8.Orange.14,00:40.6,00:41.9,00:01.3,"Positive, Negative",,,,"""$ very true."""
8.Green.10,00:41.1,00:43.6,00:02.5,,Proposal,,Shirt/Pants,"""So, so are we going to go with the extra shirt and pants?"""
8.Blue.10,00:42.0,00:42.5,00:00.4,,,,,"""Yeah."""
8.Blue.11,00:42.7,00:44.3,00:01.6,,Agreement,,Shirt/Pants,"""Yeah, I would do that for three."""
8.Green.11,00:44.4,00:44.8,00:00.5,,,,,"""Okay."""
8.Orange.15,00:46.2,00:48.4,00:02.2,,,,,"""Um, what did you guys get for four?"""
8.Blue.12,00:48.4,00:50.7,00:02.3,,,Private,Compress Kit,"""I said compress kit with giz-gauze."""
8.Green.12,00:51.3,00:57.6,00:06.3,,,Private,Whiskey,"""I put the whiskey because you could use it to help make a fire if you needed to cause it has alcohol in it, but."""
8.Orange.16,00:59.0,00:59.7,00:00.8,,,,,"""Okay."""
