Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
11.Pink.1,00:02.1,00:02.9,00:00.8,,,,,"""Okay"""
11.Pink.2,00:03.1,00:08.1,00:05.1,,,,,"""So do you want to see first maybe the similarities we have if we do have any"""
11.Green.1,00:07.4,00:08.3,00:00.9,,,,,"""Yeah"""
11.Pink.3,00:08.2,00:09.3,00:01.2,,,,,"""Um"""
11.Green.2,00:10.1,00:12.0,00:02.0,,,,,"""I dont think so"""
11.Pink.4,00:12.0,00:14.0,00:02.0,,,Private,Chocolate Bar,"""Oh family sized chocolate bar"""
11.Green.3,00:13.0,00:14.0,00:01.0,,,,,"""Yeah"""
11.Pink.5,00:14.0,00:19.7,00:05.7,,Proposal,,Chocolate Bar,"""Um so that one I think we can maybe say for sure number three"""
11.Green.4,00:19.7,00:33.6,00:13.9,,,,Chocolate Bar,"""Um maybe we can start like for example like a okay Im just um if if there is something we both think is more important than family sized chocolate bar we can [unclear]"""
11.Pink.6,00:32.5,00:35.7,00:03.2,,,,,"""Oh oh I see so do you want to like start just like in order"""
11.Green.5,00:33.6,00:34.2,00:00.6,,,,,"""Yeah"""
11.Green.6,00:35.0,00:35.6,00:00.5,,,,,"""Yeah"""
11.Pink.7,00:35.7,00:36.8,00:01.1,,,,,"""Yeah sure okay"""
11.Green.7,00:35.8,00:36.4,00:00.6,,,,,"""Yeah"""
11.Pink.8,00:36.8,00:38.7,00:01.9,,,,,"""So starting at one"""
11.Green.8,00:38.1,00:38.9,00:00.8,,,,,"""Okay"""
11.Pink.9,00:38.7,00:39.2,00:00.5,,,,,"""Okay"""
11.Green.9,00:39.3,00:40.2,00:00.8,,,,,"""So"""
11.Pink.10,00:39.8,00:49.3,00:09.6,,,Private,Knife,"""So I said uh knife was very important because um you can use it for food and you can also use it for protection"""
11.Pink.11,00:49.4,00:53.7,00:04.4,,,,,"""And so I thought like the dual purpose of that would be very important for survival"""
11.Green.10,00:53.6,00:54.3,00:00.7,,,,,"""Mhm"""
11.Pink.12,00:54.1,00:54.9,00:00.8,,,,,"""Um"""
11.Green.11,00:55.1,01:05.7,00:10.6,,,Private,Compass,"""I got compass because for where we need to know direction as the pilots ha had already mentioned that this is the direction we need to start moving to so"""
