Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
6.Blue.1,00:02.0,00:02.7,00:00.6,,,,,"""Alright"""
6.Blue.2,00:03.4,00:05.1,00:01.7,,,,,"""Okay so what do you guys have"""
6.Pink.1,00:05.2,00:12.7,00:07.4,,,,,"""Uh I was thinking of going one by one or like the things that we have reasons why theyre in that place"""
6.Green.1,00:12.6,00:14.6,00:02.0,,,,,"""Yeah I think we shift from one and go from there"""
6.Green.2,00:14.6,00:16.7,00:02.1,,,,,"""So like what does everyone have for number one"""
6.Blue.3,00:16.9,00:17.3,00:00.4,,,,,"""Okay"""
6.Pink.2,00:17.1,00:17.5,00:00.4,,,,,"""Um"""
6.Orange.1,00:17.5,00:18.6,00:01.1,,,Private,Flashlight,"""Flashlight"""
6.Pink.3,00:18.6,00:19.1,00:00.6,,,,,"""Okay"""
6.Pink.4,00:19.4,00:21.8,00:02.4,,,Private,Shirt/Pants,"""I have uh the extra shirt and pants"""
6.Blue.4,00:21.8,00:22.6,00:00.8,,,Private,Shirt/Pants,"""Yeah me too"""
6.Green.3,00:22.9,00:24.3,00:01.5,,,Private,Compass,"""And I have a compass"""
6.Pink.5,00:24.6,00:25.0,00:00.4,,,,,"""Yeah"""
6.Pink.6,00:25.4,00:26.0,00:00.5,,,,,"""Uh"""
6.Green.4,00:25.7,00:28.3,00:02.6,,,,,"""So should we do like majority or"""
6.Pink.7,00:28.4,00:30.6,00:02.2,,,,,"""Well we can just say we can say the reasons"""
6.Green.5,00:28.7,00:30.7,00:02.0,,,,,"""What what we think too"""
6.Blue.5,00:30.6,00:31.2,00:00.6,,,,,"""Yeah"""
6.Pink.8,00:30.6,00:31.4,00:00.7,,,,,"""Yeah"""
6.Green.6,00:30.9,00:31.3,00:00.4,,,,,"""Okay"""
6.Pink.9,00:31.4,00:40.1,00:08.7,,,,,"""Because I was thinking that since its minus twenty five and we are like city winter equipped were not really equipped for minus twenty five"""
6.Pink.10,00:40.1,00:42.5,00:02.4,,,,,"""And what in Manitoba"""
6.Green.7,00:41.8,00:43.1,00:01.3,,,,,"""Minus forty at night """
6.Pink.11,00:43.0,00:45.0,00:02.0,Negative,,,,"""Minus forty at night thats even worse"""
6.Blue.6,00:43.6,00:47.6,00:04.0,,,,,"""Yeah but its um 11:32 am so its pretty early"""
6.Pink.12,00:47.7,00:48.2,00:00.5,,,,,"""Mhm"""
6.Green.8,00:47.9,00:48.5,00:00.6,,,,,"""Yeah"""
6.Blue.7,00:48.2,00:52.4,00:04.1,,,,,"""And its out in the woods so its still pretty cold anyway"""
6.Pink.13,00:52.3,00:53.0,00:00.7,,,,,"""Yeah"""
6.Blue.8,00:53.0,00:58.7,00:05.7,,,,,"""So the main thing would be staying warm and then figuring out food"""
6.Pink.14,00:55.5,00:56.2,00:00.8,,,,,"""Staying warm"""
6.Pink.15,00:56.5,00:57.0,00:00.5,,,,,"""Yeah"""
6.Pink.16,00:57.8,01:00.8,00:03.0,,,Private,UNK/NA,"""My top five are usually we need to stay warm"""
6.Orange.2,00:59.6,01:00.3,00:00.6,Positive,,,,"""$"""
6.Pink.17,01:00.8,01:02.1,00:01.3,,,,,"""Thats the first thing we need to do"""
6.Blue.9,01:01.6,01:02.2,00:00.6,,,,,"""Yeah"""
6.Pink.18,01:02.1,01:06.5,00:04.4,Negative,,,,"""Because uh over night everybody can die just out of """
6.Blue.10,01:06.5,01:07.0,00:00.5,,,,,"""Yeah"""
6.Green.9,01:06.8,01:07.4,00:00.7,,,,,"""Mhm"""
6.Blue.11,01:07.0,01:14.7,00:07.7,Negative,,,,"""And like you can survive a lot less in cold than with food or yeah"""
6.Pink.19,01:12.1,01:13.7,00:01.6,,,,,"""Than from anything else"""
6.Green.10,01:13.6,01:14.9,00:01.4,,,,,"""What did you put again"""
6.Orange.3,01:14.9,01:16.0,00:01.2,,,Private,Flashlight,"""I put flashlight"""
6.Green.11,01:15.9,01:17.1,00:01.2,,,,Flashlight,"""Flashlight to see"""
6.Pink.20,01:16.9,01:17.4,00:00.5,,,,,"""Yeah"""
6.Orange.4,01:16.9,01:17.4,00:00.5,,,,,"""Yeah"""
6.Pink.21,01:17.8,01:20.0,00:02.3,,,,,"""Like I said its fairly early in the morning"""
6.Orange.5,01:19.3,01:20.4,00:01.1,,,,,"""In the day yeah"""
6.Pink.22,01:20.1,01:23.5,00:03.4,,,,Flashlight,"""And if we have fire then we dont really need a flashlight"""
6.Blue.12,01:23.1,01:23.7,00:00.6,,,,,"""Yeah"""
6.Green.12,01:24.2,01:33.4,00:09.2,,,Private,Compass,"""I did compass because I personally like I get the warm thing a hundred percent but from where Im coming from it mentioned that there was like a town"""
6.Pink.23,01:29.1,01:30.0,00:00.8,,,,,"""Hm"""
6.Green.13,01:33.4,01:38.1,00:04.7,,,,,"""And my first surviving mode would be like I need to find shelter I need to find somewhere"""
6.Pink.24,01:36.6,01:37.9,00:01.2,,,,,"""Mhm"""
6.Green.14,01:38.8,01:40.9,00:02.0,,,,Compass,"""So I think the compass is very important"""
6.Green.15,01:40.9,01:44.5,00:03.7,,,,,"""But with your guys point I think the two of you did that and I totally agree"""
6.Green.16,01:44.5,01:46.3,00:01.8,,Proposal,,,"""I think that that should be number one"""
6.Pink.25,01:44.8,01:45.7,00:00.9,,,,,"""Mhm"""
6.Blue.13,01:46.3,01:46.9,00:00.6,,Agreement,,,"""Yeah"""
6.Orange.6,01:46.4,01:46.9,00:00.6,,Agreement,,,"""Yeah"""
6.Green.17,01:46.5,01:47.6,00:01.1,,,,,"""So everyone agree"""
6.Orange.7,01:47.5,01:47.9,00:00.4,,Agreement,,,"""Yeah"""
6.Blue.14,01:47.5,01:47.9,00:00.4,,Agreement,,,"""Yeah"""
6.Green.18,01:47.9,01:48.3,00:00.4,,,,,"""Okay"""
6.Green.19,01:48.4,01:51.9,00:03.5,,,,Shirt/Pants,"""That was the warmth one extra shirt and pants"""
6.Green.20,01:52.9,01:53.7,00:00.7,,,,,"""Okay"""
6.Green.21,01:54.0,01:56.1,00:02.1,,,,,"""Uh what everyone have for two"""
6.Pink.26,01:56.9,01:58.7,00:01.8,,,Private,Steel Wool,"""Uh I had the ball of steel wool"""
6.Orange.8,01:58.7,01:59.5,00:00.8,,,Private,Steel Wool,"""So did I"""
6.Green.22,01:59.5,01:59.9,00:00.4,,,,,"""Kay"""
6.Blue.15,01:59.9,02:03.9,00:04.0,,,Private,Newspaper,"""I put the newspaper just to like build on the fire stuff"""
6.Pink.27,02:02.0,02:02.5,00:00.6,,,,,"""Hm"""
6.Pink.28,02:03.1,02:03.6,00:00.5,,,,,"""Yeah"""
6.Orange.9,02:03.8,02:04.3,00:00.5,,,,,"""Yeah"""
6.Pink.29,02:03.8,02:08.3,00:04.5,,,Private,UNK/NA,"""I I feel that my two three and four are interchangeable"""
6.Green.23,02:07.3,02:10.0,00:02.7,,,,,"""Yeah uh theres a couple ones that where its like it could be """
6.Orange.10,02:08.9,02:09.5,00:00.6,,,,,"""Yeah"""
6.Pink.30,02:09.5,02:09.9,00:00.5,,,,,"""Yeah"""
6.Blue.16,02:09.9,02:10.3,00:00.3,,,,,"""Yeah"""
6.Pink.31,02:10.1,02:10.8,00:00.7,,,,,"""What is it"""
6.Green.24,02:10.2,02:14.8,00:04.6,,,Private,Compress Kit,"""Cause I for that one I put a compress kit cause the plane crashed so"""
6.Pink.32,02:14.5,02:15.0,00:00.6,,,,,"""Mhm"""
6.Green.25,02:14.8,02:18.5,00:03.7,,,,Compress Kit,"""I feel like that could instantly save people"""
6.Blue.17,02:16.2,02:19.0,00:02.8,,,,,"""Yeah but theres no serious injuries"""
6.Pink.33,02:18.2,02:18.8,00:00.6,,,,,"""Yeah"""
6.Green.26,02:19.0,02:19.5,00:00.4,,,,,"""Pardon"""
6.Pink.34,02:19.3,02:22.4,00:03.1,,,,,"""No one is seriously injured"""
6.Blue.18,02:19.4,02:21.4,00:01.9,,,,,"""Theres no serious injury"""
6.Green.27,02:21.7,02:22.2,00:00.5,,,,,"""Yeah"""
6.Pink.35,02:22.4,02:26.5,00:04.1,,,,,"""And Im pretty sure the cold helps with wounds"""
6.Blue.19,02:25.6,02:26.7,00:01.1,,,,,"""I dont know cause like """
6.Pink.36,02:26.5,02:27.2,00:00.7,,,,,"""I dont know"""
6.Blue.20,02:26.7,02:28.6,00:01.8,,,,Compress Kit,"""The first aid kit is important"""
6.Pink.37,02:28.6,02:29.1,00:00.5,,,,,"""Yeah"""
6.Green.28,02:29.1,02:29.7,00:00.6,,,,,"""Yeah"""
6.Blue.21,02:29.1,02:33.1,00:04.0,,,,,"""But in any case like something attacks or whatever"""
6.Pink.38,02:33.1,02:33.8,00:00.7,,,,,"""Mhm"""
6.Blue.22,02:33.5,02:36.6,00:03.1,,,,Compress Kit,"""Its not gonna be very helpful though"""
6.Green.29,02:34.1,02:36.2,00:02.2,,,,,"""Thats where my mind was kind of going too"""
6.Green.30,02:36.7,02:39.3,00:02.6,,,,,"""Like something could happen because """
6.Green.31,02:39.3,02:40.2,00:00.9,,,,,"""Mhm"""
6.Blue.23,02:39.6,02:42.0,00:02.5,,,,Compress Kit,"""Yeah but the gauzes and all of that"""
6.Blue.24,02:42.0,02:45.9,00:03.8,,,,Shirt/Pants,"""Its better to use I dont know the extra shirt or something like that"""
6.Pink.39,02:42.1,02:42.7,00:00.7,,,,,"""Mhm"""
6.Pink.40,02:46.2,02:46.9,00:00.6,,,,,"""Yeah"""
6.Blue.25,02:46.4,02:52.1,00:05.7,,,,Compress Kit,"""And then tie it on with something other than the gauzes and the band aids"""
6.Green.32,02:47.6,02:48.2,00:00.6,,,,,"""Yeah"""
6.Green.33,02:48.5,02:49.1,00:00.6,,,,,"""Okay"""
6.Pink.41,02:48.7,02:49.6,00:00.8,,,,,"""Mhm"""
6.Blue.26,02:52.1,02:56.7,00:04.6,,,,Compress Kit,"""Because like the first aid kits that I have seen are usually pretty simple"""
6.Blue.27,02:56.8,02:59.2,00:02.4,,,,,"""And like """
6.Green.34,02:58.4,03:03.1,00:04.7,,,,Compress Kit,"""Yeah I guess it depends to what extend that that one would have too"""
6.Blue.28,03:01.1,03:01.5,00:00.4,,,,,"""Yeah"""
6.Pink.42,03:01.5,03:02.1,00:00.6,,,,,"""Yeah"""
