Participant,Start,End,Sentence
13.Yellow.1,00:01.8,00:04.8,"""Okay so, why don't you tell me yours first."""
13.Yellow.2,00:04.9,00:06.9,"""And then we'll see, what's just -- what's just similar."""
13.Yellow.3,00:06.9,00:09.5,"""And then we'll work on narrowing it down."""
13.Blue.1,00:08.1,00:08.8,"""Yeah."""
13.Yellow.4,00:09.6,00:12.0,"""So, a compression kit -- what did you give it?"""
13.Blue.2,00:12.2,00:12.8,"""Ten."""
13.Yellow.5,00:12.7,00:13.6,"""Ten, okay."""
13.Yellow.6,00:13.6,00:14.6,"""Cigarette lighter."""
13.Blue.3,00:14.8,00:16.1,"""Um, fifteen."""
13.Yellow.7,00:16.3,00:16.9,"""Fifteen."""
13.Yellow.8,00:17.4,00:18.6,"""Newspaper, twelve."""
13.Blue.4,00:17.6,00:18.3,"""Twelve."""
13.Blue.5,00:19.5,00:20.0,"""Five."""
13.Yellow.9,00:19.9,00:20.6,"""Five."""
13.Blue.6,00:20.9,00:21.3,"""One."""
13.Yellow.10,00:21.4,00:22.0,"""One."""
13.Blue.7,00:21.9,00:22.5,"""Nine."""
13.Yellow.11,00:22.7,00:23.1,"""Nine."""
13.Blue.8,00:23.3,00:24.0,"""Fourteen."""
13.Yellow.12,00:24.0,00:24.6,"""Fourteen."""
13.Blue.9,00:24.7,00:25.4,"""Eleven."""
13.Yellow.13,00:25.4,00:26.1,"""Eleven."""
13.Blue.10,00:26.1,00:26.7,"""Thirteen."""
13.Yellow.14,00:26.8,00:27.5,"""Thirteen?"""
13.Blue.11,00:27.6,00:28.1,"""Yep."""
13.Yellow.15,00:28.1,00:28.6,"""Okay."""
13.Blue.12,00:28.2,00:28.8,"""Six."""
13.Yellow.16,00:28.8,00:29.4,"""Six."""
13.Blue.13,00:29.6,00:30.0,"""Four."""
13.Yellow.17,00:30.1,00:30.7,"""Four."""
13.Blue.14,00:30.7,00:31.3,"""Seven."""
13.Yellow.18,00:31.5,00:32.0,"""Seven."""
13.Blue.15,00:32.0,00:32.5,"""Eight."""
13.Yellow.19,00:32.7,00:33.2,"""Eight."""
13.Blue.16,00:33.2,00:33.6,"""Two."""
13.Yellow.20,00:34.0,00:34.5,"""Two."""
13.Blue.17,00:34.6,00:35.0,"""Three."""
13.Yellow.21,00:35.0,00:35.5,"""Three."""
13.Yellow.22,00:36.0,00:38.6,"""Okay, so, I did eight."""
13.Yellow.23,00:38.9,00:39.5,"""Three."""
13.Yellow.24,00:40.7,00:41.4,"""Four."""
13.Yellow.25,00:41.9,00:42.6,"""Eleven."""
13.Yellow.26,00:43.6,00:44.1,"""Ten."""
13.Yellow.27,00:45.9,00:47.0,"""Twelve."""
13.Yellow.28,00:47.3,00:47.9,"""Two."""
13.Yellow.29,00:48.1,00:50.4,"""Well, we have some differences."""
13.Yellow.30,00:51.1,00:53.2,"""And some-some are very similar."""
13.Yellow.31,00:53.2,00:53.8,"""Seven."""
13.Yellow.32,00:55.0,00:55.7,"""Nine."""
13.Yellow.33,00:56.7,00:58.2,"""Six, very nice."""
13.Yellow.34,00:59.1,01:00.0,"""Fifteen."""
13.Yellow.35,01:00.1,01:00.8,"""Five."""
13.Yellow.36,01:01.0,01:01.8,"""And one."""
