Participant,Start,End,Sentence
19.Blue.1,00:00.4,00:06.8,"""Okay, um, so what I wrote my first priority was flashlights with batteries."""
19.Blue.2,00:06.8,00:13.2,"""Because once you crash land and it's night, since they it landed like in the morning, but still when it's dark."""
19.Blue.3,00:13.5,00:17.2,"""Uh, because it's like a jungle and there's no habitation."""
19.Blue.4,00:17.2,00:20.8,"""So I think flashlight would be the most important to see around."""
19.Blue.5,00:21.3,00:22.5,"""What do you guys think?"""
19.Pink.1,00:23.1,00:24.6,"""I put -- oh sorry, go ahead."""
19.Orange.1,00:23.1,00:23.6,"""I put --"""
19.Orange.2,00:24.7,00:28.0,"""Um, I put flashlight as like my fourth because it's important."""
19.Orange.3,00:28.0,00:37.2,"""But I also thought that -- I thought that the compress kiss-kit was the most important just because like in case if there's any injuries, we want to work on keeping everyone's safe."""
19.Orange.4,00:37.2,00:44.6,"""But I do agree that the flashlight is important because they can also use batteries that eventually can make a fire and see everything with it too."""
19.Blue.6,00:41.7,00:42.4,"""Yeah."""
19.Blue.7,00:43.2,00:43.7,"""Yeah."""
19.Pink.2,00:45.0,00:54.5,"""Yeah, I did the shirt and pants cause it's in Manitoba and it says it gets down to like negative forty so I was like you probably want to stay as warm as possible."""
19.Orange.5,00:50.4,00:51.0,"""Yeah."""
19.Pink.3,00:54.7,00:55.7,"""Um."""
19.Orange.6,00:54.7,00:55.3,"""Yeah."""
19.Orange.7,00:57.7,01:13.2,"""Well, and -- cause they crash at 11:32 in the morning, so it's not gonna get dark for a while too, so I figured -- I figured if they got probably the pants or probably be the best idea to first getting everyone warm."""
19.Pink.4,01:01.3,01:01.8,"""Yeah."""
19.Pink.5,01:04.1,01:04.6,"""Yeah."""
19.Blue.8,01:05.0,01:06.4,"""Okay, yeah."""
19.Blue.9,01:12.0,01:12.8,"""Yeah let's do --"""
19.Pink.6,01:12.0,01:13.0,"""What do we want?"""
19.Pink.7,01:13.1,01:14.8,"""Shirt and pants first?"""
19.Orange.8,01:13.2,01:16.6,"""Yeah, probably the [unclear] everyone can stay warm and safe."""
19.Pink.8,01:16.8,01:17.3,"""Okay."""
19.Pink.9,01:18.4,01:20.5,"""And what did we want to do next?"""
19.Pink.10,01:20.5,01:23.0,"""The flashlight we were going to do next?"""
19.Blue.10,01:23.0,01:25.1,"""Um, I did the compass next."""
19.Orange.9,01:25.3,01:26.2,"""Yeah because then --"""
19.Blue.11,01:25.9,01:30.1,"""Just to um -- yeah, getting direction of, uh, where they want to go."""
19.Pink.11,01:27.0,01:27.6,"""Compass."""
19.Orange.10,01:30.1,01:31.6,"""Yeah, cause it says like --"""
19.Pink.12,01:31.1,01:35.3,"""But do we want the map before we have the compass though so that we --"""
19.Orange.11,01:35.5,01:36.1,"""Maybe."""
19.Pink.13,01:36.8,01:39.2,"""Or do we want the compass before the map?"""
19.Orange.12,01:39.5,01:43.5,"""Probably the compass first because they know the direction that they have to go."""
19.Blue.12,01:43.3,01:44.1,"""Yeah."""
19.Orange.13,01:43.5,01:45.5,"""So we're seeing [unclear] and we can go."""
19.Pink.14,01:43.8,01:44.4,"""Okay."""
19.Blue.13,01:44.4,01:51.6,"""Uh, because they were like, um, that you were eighty miles northwest of a small town."""
19.Orange.14,01:51.5,01:52.1,"""Hm."""
19.Blue.14,01:51.6,02:02.7,"""So we figure out which, um, if they have -- if they figure out what they have for compass that they need to go to northwest and then probably we'll do that with a map, then-then it does make sense, so."""
19.Pink.15,01:52.0,01:52.5,"""Oh yeah."""
19.Pink.16,02:00.1,02:00.6,"""Okay."""
19.Pink.17,02:02.1,02:05.1,"""Okay, so shirt and pants and then compass."""
19.Blue.15,02:05.4,02:06.9,"""And then we can do the map."""
19.Pink.18,02:07.3,02:09.3,"""And map, okay."""
19.Pink.19,02:11.1,02:14.5,"""And we -- would we want to do the gun next?"""
19.Pink.20,02:14.5,02:16.7,"""So that we can like kill stuff to eat."""
19.Blue.16,02:14.7,02:16.0,"""Yeah, yeah."""
19.Blue.17,02:16.6,02:17.0,"""Right."""
19.Pink.21,02:17.0,02:17.5,"""Yeah?"""
19.Blue.18,02:17.5,02:20.1,"""Yeah, I did that for two so."""
19.Orange.15,02:17.5,02:17.9,"""Yeah."""
19.Orange.16,02:18.3,02:18.8,"""Mhm."""
19.Pink.22,02:18.3,02:18.8,"""Okay."""
19.Pink.23,02:20.0,02:25.7,"""And would we want the like knife after that so that we can cut it up or whatever?"""
19.Blue.19,02:22.5,02:23.1,"""Yeah."""
19.Blue.20,02:24.6,02:25.1,"""Mhm."""
19.Blue.21,02:26.0,02:26.4,"""Okay."""
19.Blue.22,02:27.0,02:27.5,"""Um."""
19.Pink.24,02:28.0,02:32.3,"""And then do we want flashlight probably so that we can see when it's dark out?"""
19.Orange.17,02:30.9,02:31.4,"""Yeah."""
19.Blue.23,02:32.4,02:35.9,"""Um, yeah, we can do the flashlight next."""
19.Pink.25,02:36.0,02:36.4,"""Okay."""
19.Orange.18,02:36.8,02:37.4,"""And then."""
19.Blue.24,02:36.8,02:39.2,"""And then the rope probably."""
19.Pink.26,02:39.2,02:43.7,"""The rope or do we want like a chocolate bar so that we can like eat in the meantime?"""
19.Blue.25,02:43.6,02:44.1,"""Um."""
19.Orange.19,02:43.8,02:50.6,"""Well, if they already have like a caliber to get food, they should probably like start with fire and shelter stuff, right?"""
19.Pink.27,02:49.7,02:50.7,"""Fire and shelter?"""
19.Orange.20,02:50.6,02:50.9,"""Yeah."""
19.Pink.28,02:50.8,02:52.4,"""Okay, so the rope next?"""
19.Orange.21,02:52.4,02:52.8,"""Yeah."""
19.Blue.26,02:52.8,02:53.1,"""Yeah."""
19.Pink.29,02:53.1,02:53.4,"""Okay."""
19.Blue.27,02:56.2,03:01.6,"""Um, we can do um -- did we do the compress kit yet?"""
19.Orange.22,03:01.1,03:01.6,"""No."""
19.Pink.30,03:01.5,03:02.4,"""Not yet, no."""
19.Pink.31,03:02.8,03:03.8,"""Do that next?"""
19.Blue.28,03:03.8,03:04.2,"""Yeah."""
19.Pink.32,03:04.4,03:04.9,"""Okay."""
19.Blue.29,03:04.8,03:06.0,"""[unclear]"""
19.Pink.33,03:06.0,03:06.4,"""No."""
19.Blue.30,03:07.1,03:12.9,"""Then we can do, um, probably the chocolate bar."""
19.Orange.23,03:13.1,03:13.5,"""Hm."""
19.Pink.34,03:13.7,03:14.2,"""Okay."""
19.Blue.31,03:14.2,03:14.6,"""Yeah."""
19.Orange.24,03:16.2,03:17.9,"""What will the whiskey be good for?"""
19.Blue.32,03:18.1,03:19.9,"""$ it's to keep you warm."""
