Participant,Start,End,Sentence
28.Blue.1,00:00.0,00:05.0,"""So, I guess it makes more sense if, I don't know, if we [unclear] with the least important things."""
28.Orange.1,00:06.1,00:07.5,"""Get them out of the way?"""
28.Pink.1,00:06.4,00:08.1,"""Yeah."""
28.Blue.2,00:07.0,00:07.6,"""Yeah."""
28.Orange.2,00:08.0,00:08.6,"""Sure."""
28.Blue.3,00:08.0,00:10.9,"""So, my fifteen was the chocolate bar."""
28.Blue.4,00:10.9,00:11.8,"""Uh, yeah."""
28.Pink.2,00:11.8,00:13.7,"""I agree with that one $."""
28.Orange.3,00:13.7,00:14.3,"""Really?"""
28.Orange.4,00:14.3,00:17.0,"""My fifteen was a ball of steel wool."""
28.Blue.5,00:17.1,00:19.2,"""But I feel like you can use that to like start fires."""
28.Orange.5,00:19.8,00:22.1,"""You can use almost anything to start fires."""
28.Blue.6,00:21.3,00:22.2,"""Okay like true."""
28.Blue.7,00:22.2,00:26.5,"""But like I feel like that one, I feel like I would like, I don't know."""
28.Orange.6,00:22.6,00:25.0,"""Like rocks, two rocks."""
28.Orange.7,00:26.6,00:27.4,"""Okay."""
28.Orange.8,00:27.4,00:28.9,"""Yeah, no, that makes sense."""
28.Blue.8,00:28.7,00:30.0,"""Yeah, okay."""
28.Orange.9,00:29.5,00:30.0,"""Yeah."""
28.Pink.3,00:30.0,00:32.7,"""I put that ball of steel as fourteen."""
28.Blue.9,00:33.0,00:34.6,"""Mine was like eight."""
28.Orange.10,00:34.3,00:36.3,"""No, that that does make sense."""
28.Orange.11,00:37.4,00:44.4,"""But, uh, the chocolate, that I put as like number five, like pretty close to the top."""
28.Blue.10,00:44.7,00:45.4,"""Damn."""
28.Pink.4,00:45.5,00:46.6,"""$"""
28.Orange.12,00:46.6,00:48.8,"""Well, like it's the only source of food that they have on here."""
28.Blue.11,00:48.8,00:50.0,"""Not necessarily."""
28.Pink.5,00:49.4,00:51.6,"""Uh, you have the can of shortening."""
28.Pink.6,00:51.6,00:54.5,"""$"""
28.Orange.13,00:51.6,00:53.3,"""Okay, I wasn't sure what that was."""
28.Blue.12,00:53.3,00:58.3,"""Or $ you also have your loaded gun that you could easily shoot something with."""
28.Pink.7,00:58.3,00:58.9,"""Yeah."""
28.Orange.14,00:58.8,01:00.4,"""Yeah, okay."""
28.Pink.8,00:59.4,01:00.8,"""As well as the knife."""
28.Blue.13,01:00.6,01:01.3,"""Yeah."""
28.Orange.15,01:00.6,01:02.6,"""Yeah, okay."""
28.Blue.14,01:02.6,01:03.3,"""I don't know."""
28.Orange.16,01:03.0,01:05.5,"""So what's the best way to kind of like organize this?"""
28.Blue.15,01:05.5,01:06.8,"""Yeah, I don't know."""
