Participant,Start,End,Sentence
6.Blue.1,00:02.0,00:02.7,"""Alright."""
6.Blue.2,00:03.4,00:05.1,"""Okay, so, what do you guys have?"""
6.Pink.1,00:05.2,00:12.7,"""Uh, I was thinking of going one by one, or like the things that we have reasons why they're in that place."""
6.Green.1,00:12.6,00:14.6,"""Yeah, I think we shift from one and go from there."""
6.Green.2,00:14.6,00:16.7,"""So, like what does everyone have for number one?"""
6.Blue.3,00:16.9,00:17.3,"""Okay."""
6.Pink.2,00:17.1,00:17.5,"""Um."""
6.Orange.1,00:17.5,00:18.6,"""Flashlight."""
6.Pink.3,00:18.6,00:19.1,"""Okay."""
6.Pink.4,00:19.4,00:21.8,"""I have, uh, the extra shirt and pants."""
6.Blue.4,00:21.8,00:22.6,"""Yeah, me too."""
6.Green.3,00:22.9,00:24.3,"""And I have a compass."""
6.Pink.5,00:24.6,00:25.0,"""Yeah."""
6.Pink.6,00:25.4,00:26.0,"""Uh."""
6.Green.4,00:25.7,00:28.3,"""So, should we do like majority or?"""
6.Pink.7,00:28.4,00:30.6,"""Well, we can just say, we can say the reasons."""
6.Green.5,00:28.7,00:30.7,"""What-what we think too?"""
6.Blue.5,00:30.6,00:31.2,"""Yeah."""
6.Pink.8,00:30.6,00:31.4,"""Yeah."""
6.Green.6,00:30.9,00:31.3,"""Okay."""
6.Pink.9,00:31.4,00:40.1,"""Because I was thinking that since it's minus twenty-five and we are like city winter equipped, we're not really equipped for minus twenty-five."""
6.Pink.10,00:40.1,00:42.5,"""And what in Manitoba."""
6.Green.7,00:41.8,00:43.1,"""Minus forty at night. """
6.Pink.11,00:43.0,00:45.0,"""Minus forty at night, that's even worse."""
6.Blue.6,00:43.6,00:47.6,"""Yeah, but it's, um, 11:32 am, so it's pretty early."""
6.Pink.12,00:47.7,00:48.2,"""Mhm."""
6.Green.8,00:47.9,00:48.5,"""Yeah."""
6.Blue.7,00:48.2,00:52.4,"""And it's out in the woods, so it's still pretty cold anyway."""
6.Pink.13,00:52.3,00:53.0,"""Yeah."""
6.Blue.8,00:53.0,00:58.7,"""So, the main thing would be staying warm and then figuring out food."""
