Participant,Start,End,Sentence
12.Blue.1,00:04.0,00:06.8,"""Okay so what did everyone put for their most important"""
12.Green.1,00:07.9,00:09.9,"""Uh I said flashlight with batteries"""
12.Pink.1,00:09.5,00:10.1,"""I did too"""
12.Green.2,00:10.5,00:11.0,"""Yeah"""
12.Blue.2,00:10.7,00:12.0,"""I I said compass"""
12.Orange.1,00:11.8,00:12.7,"""I said compass"""
12.Pink.2,00:12.9,00:13.5,"""Okay"""
12.Blue.3,00:13.4,00:14.5,"""My second was """
12.Pink.3,00:13.8,00:18.4,"""I thought of it but like but I was like if they cant see where theyre going then probably not"""
12.Green.3,00:17.7,00:19.7,"""Yeah thats what I thought"""
12.Blue.4,00:19.5,00:19.8,"""Yeah"""
12.Orange.2,00:20.0,00:27.7,"""Yeah tha that was my number three just cause I was like you kind of need like the map and the compass first just to figure out like your """
12.Blue.5,00:22.0,00:22.3,"""Same"""
12.Pink.4,00:26.6,00:27.7,"""Like where were going"""
12.Orange.3,00:27.7,00:34.0,"""Yeah cause the pilot had said like they are like eighty miles or something"""
12.Pink.5,00:32.7,00:33.8,"""Miles away"""
12.Pink.6,00:33.8,00:35.1,"""Yeah so you need the comp """
12.Orange.4,00:34.0,00:34.6,"""Yeah"""
12.Pink.7,00:35.1,00:36.5,"""Yeah I had that as three as well"""
12.Pink.8,00:38.3,00:39.4,"""Um $"""
12.Blue.6,00:40.5,00:42.9,"""I had the extra shirt and pants as second"""
12.Blue.7,00:42.9,00:47.8,"""Just because they talked about the weather being so cold and that they werent really equipped for it"""
12.Green.4,00:48.9,00:50.7,"""Oh that make sense yeah"""
12.Orange.5,00:50.9,00:51.4,"""Yeah"""
12.Green.5,00:51.2,00:53.4,"""Like way down the list [unclear]"""
12.Orange.6,00:51.7,00:53.0,"""I I kind of """
12.Orange.7,00:53.7,00:59.6,"""I put it at just at number seven because like when you crashed it was 11:30 in the morning"""
12.Orange.8,00:59.6,01:05.4,"""So you kind of had time to deal with that stuff and figure yourself before it got really cold"""
12.Pink.9,01:01.5,01:02.2,"""Figure out"""
12.Blue.8,01:05.4,01:06.0,"""Mhm"""
12.Orange.9,01:05.6,01:07.7,"""Even though its not warm to begin with"""
12.Pink.10,01:05.7,01:06.2,"""Yeah"""
12.Pink.11,01:09.9,01:11.1,"""What should I put as one"""
12.Pink.12,01:11.2,01:13.1,"""The compass or the flashlight"""
12.Blue.9,01:13.0,01:14.2,"""I think compass first"""
12.Orange.10,01:14.1,01:15.4,"""Probably compass yeah"""
