Participant,Start,End,Sentence
18.Pink.1,00:00.1,00:01.3,"""What did you guys put for number one"""
18.Blue.1,00:01.5,00:04.5,"""Uh I said the extra shirt and pants"""
18.Pink.2,00:04.1,00:04.6,"""Me too"""
18.Blue.2,00:05.2,00:06.4,"""Is this the number two"""
18.Pink.3,00:06.5,00:07.0,"""Yeah"""
18.Orange.1,00:08.1,00:09.4,"""I said compass"""
18.Orange.2,00:09.7,00:12.8,"""But I put the extra shirt like somewhere at the top"""
18.Pink.4,00:12.9,00:13.2,"""Yeah"""
18.Orange.3,00:13.4,00:15.9,"""I just said compass because I feel like you dont know where to go"""
18.Orange.4,00:15.9,00:22.4,"""Even if you have the extra clothes you wont be able to survive there for long enough unless you know where to start going towards"""
18.Orange.5,00:22.8,00:23.9,"""Thats the only reason why"""
18.Pink.5,00:23.2,00:23.6,"""Yeah"""
18.Pink.6,00:26.0,00:28.5,"""So what do you think would be number one $"""
18.Orange.6,00:28.2,00:29.5,"""You guys are probably right"""
18.Orange.7,00:29.5,00:32.5,"""Well how would you survive in minus twenty five degrees"""
18.Pink.7,00:30.9,00:37.5,"""I just think like if I was in that situation Id want like extra clothing cause if youre like really cold"""
18.Blue.3,00:34.5,00:35.1,"""Yeah"""
18.Orange.8,00:35.9,00:36.8,"""Yeah youre right"""
18.Pink.8,00:37.8,00:39.7,"""So I dont know [unclear]"""
18.Blue.4,00:39.1,00:41.3,"""So [unclear] yeah"""
18.Pink.9,00:41.3,00:42.1,"""Okay"""
18.Pink.10,00:42.3,00:46.6,"""Um what what did you put for two"""
18.Blue.5,00:44.5,00:45.1,"""Uh"""
18.Blue.6,00:46.6,00:47.8,"""I said the knife"""
18.Pink.11,00:47.8,00:48.2,"""Okay"""
18.Blue.7,00:48.8,00:49.4,"""Um"""
18.Pink.12,00:49.0,00:50.5,"""Yeah knife is my top"""
18.Blue.8,00:50.4,00:50.9,"""Yeah"""
18.Pink.13,00:50.5,00:51.6,"""Its my number four"""
18.Orange.9,00:52.0,00:52.5,"""Same"""
18.Pink.14,00:52.9,01:00.7,"""Yeah I put um I guess I just put cigarette lighter like I guess to use for if you need make a fire or something"""
18.Blue.9,00:57.5,00:58.0,"""Mhm"""
18.Pink.15,01:00.7,01:01.3,"""I dont know"""
18.Blue.10,01:00.9,01:01.5,"""Yeah"""
18.Pink.16,01:01.3,01:06.0,"""But but possibly that wouldnt be very helpful for like you didnt have anything to make a fire"""
18.Pink.17,01:06.0,01:06.6,"""I dont know"""
18.Pink.18,01:06.6,01:08.1,"""Cause then I can """
18.Orange.10,01:06.9,01:08.1,"""Because its three"""
18.Pink.19,01:08.4,01:08.9,"""Mhm"""
18.Orange.11,01:09.7,01:14.1,"""I thought two the chocolate just cause it would keep you warm"""
18.Orange.12,01:15.2,01:17.8,"""Again its just like an energy thing"""
18.Pink.20,01:18.1,01:19.7,"""Okay that makes sense"""
18.Orange.13,01:19.1,01:21.0,"""Not everyone is like full on energy"""
18.Pink.21,01:21.3,01:21.8,"""Yeah"""
18.Pink.22,01:22.8,01:35.5,"""Um I feel like like the knife yeah that makes sense as well"""
18.Orange.14,01:35.5,01:36.1,"""Mhm"""
18.Pink.23,01:36.5,01:41.5,"""But I put like the chocolate I put that like one of my least like that was like my number twelve"""
18.Blue.11,01:40.1,01:40.6,"""Yeah"""
18.Blue.12,01:44.1,01:47.3,"""Yeah [unclear]"""
18.Pink.24,01:49.0,01:50.5,"""So nah um"""
18.Blue.13,01:51.5,01:53.0,"""The chocolate I put fifteenth"""
18.Pink.25,01:53.3,01:55.0,"""Yeah $"""
18.Orange.15,01:54.6,02:03.4,"""Oh I just heard like this one person was climbing this huge mountain in the snow and the first thing that he was given because he almost died of hypothermal was chocolate"""
