Participant,Start,End,Sentence
26.Pink.1,00:01.0,00:03.2,"""Okay so lets go down the line"""
26.Pink.2,00:03.8,00:06.0,"""Um what did you guys write for compress kit"""
26.Blue.1,00:06.0,00:07.9,"""Um I put that as number one"""
26.Blue.2,00:08.0,00:10.4,"""Cause I think first aid is important"""
26.Blue.3,00:10.4,00:13.2,"""Cause if someone is injured then they need to survive"""
26.Pink.3,00:11.6,00:12.5,"""Mhm"""
26.Pink.4,00:13.0,00:13.7,"""Yeah"""
26.Blue.4,00:13.4,00:14.3,"""Yeah"""
26.Orange.1,00:13.7,00:16.1,"""Um I put it as number five"""
26.Orange.2,00:16.1,00:19.0,"""Cause I thought number one would be clothing"""
26.Pink.5,00:19.0,00:19.9,"""Okay"""
26.Pink.6,00:20.0,00:21.3,"""I wrote number four"""
26.Pink.7,00:21.3,00:25.1,"""Cause I put like compass and like """
26.Pink.8,00:25.8,00:28.6,"""Wait whats an air map made of plastic"""
26.Pink.9,00:29.8,00:30.8,"""Like a map"""
26.Orange.3,00:32.7,00:36.8,"""Um I was in my head I thought just like a a kinda like a tarp like a plastic"""
26.Pink.10,00:36.6,00:37.9,"""Yeah okay"""
26.Orange.4,00:37.1,00:37.8,"""Yeah"""
26.Pink.11,00:37.9,00:39.0,"""I put that as number two"""
26.Pink.12,00:39.0,00:39.8,"""$"""
26.Pink.13,00:39.8,00:42.8,"""But yeah no we can do the compress kit as number one"""
26.Orange.5,00:41.7,00:42.8,"""As number one"""
26.Pink.14,00:42.8,00:44.7,"""Yeah cause its important"""
26.Orange.6,00:42.8,00:43.5,"""Okay"""
26.Pink.15,00:45.8,00:48.2,"""What did you guys put for the cigarette lighter without fluid"""
26.Blue.5,00:48.9,00:50.9,"""Um I wrote ten"""
26.Blue.6,00:50.9,00:53.0,"""I think more things are important"""
26.Pink.16,00:52.6,00:54.8,"""Yeah mine was also ten"""
26.Blue.7,00:54.1,00:54.8,"""Yeah"""
26.Orange.7,00:54.4,00:55.7,"""Mine was fourteen $"""
26.Orange.8,00:55.7,00:58.9,"""Cause its kinda useless without fluid in it"""
26.Pink.17,00:57.5,00:58.8,"""Yeah exactly"""
26.Pink.18,00:58.8,01:02.1,"""I was thinking we could use it as some sort of tool but"""
26.Pink.19,01:02.2,01:03.1,"""Um"""
26.Pink.20,01:03.9,01:05.5,"""Yeah I dont know"""
26.Orange.9,01:05.9,01:10.7,"""Should we just go from um what would think like from most important to least important"""
26.Orange.10,01:10.7,01:11.9,"""Its easier"""
26.Blue.8,01:11.5,01:13.3,"""Yeah yeah"""
26.Pink.21,01:11.9,01:12.5,"""Yeah"""
26.Orange.11,01:11.9,01:13.1,"""Instead of going down like"""
26.Pink.22,01:12.5,01:14.1,"""Instead of going in line sure"""
26.Orange.12,01:13.3,01:14.0,"""Yeah"""
26.Orange.13,01:14.1,01:15.6,"""So the first one we said compress kit"""
26.Pink.23,01:15.6,01:16.3,"""Yes"""
26.Orange.14,01:15.7,01:17.7,"""And then the second one what did you guys think"""
26.Pink.24,01:17.2,01:18.8,"""I feel like compass is really important"""
26.Pink.25,01:18.8,01:27.8,"""Because up in here it said that there was um a town yeah like eighty miles at northwest so"""
26.Orange.15,01:23.6,01:25.8,"""A town nearby yep"""
26.Orange.16,01:26.8,01:27.8,"""Mhm"""
26.Blue.9,01:27.4,01:29.1,"""We can do compass for two"""
26.Orange.17,01:28.3,01:29.6,"""Yeah I agree with that too"""
26.Pink.26,01:29.7,01:34.4,"""Its a long distance but you could make it [unclear]"""
26.Orange.18,01:33.1,01:39.1,"""And for number three would it um I was thinking maybe it would be flashlight and batteries"""
26.Pink.27,01:38.4,01:40.6,"""Yeah I also had that"""
26.Blue.10,01:38.7,01:39.6,"""Yeah"""
26.Pink.28,01:42.7,01:44.8,"""Um what else where are we"""
26.Blue.11,01:43.9,01:45.9,"""Clothing for four"""
26.Pink.29,01:45.8,01:46.6,"""Yeah"""
26.Orange.19,01:47.1,01:50.2,"""Cause then once youre making your way yeah"""
26.Pink.30,01:48.2,01:50.8,"""You can like layer up too yeah"""
26.Blue.12,01:49.3,01:50.2,"""Yeah"""
26.Orange.20,01:51.0,01:51.9,"""Four"""
26.Pink.31,01:52.5,01:54.8,"""Um what else do we have"""
26.Blue.13,01:58.0,01:59.9,"""We can do a knife for five"""
26.Pink.32,01:59.9,02:00.7,"""Yeah"""
26.Pink.33,02:00.9,02:05.9,"""Yeah they can use it to like kinda put it make something for a fire"""
26.Orange.21,02:02.3,02:03.4,"""Mhm"""
26.Orange.22,02:05.3,02:06.1,"""Mhm"""
26.Orange.23,02:07.6,02:08.3,"""Five"""
26.Orange.24,02:08.9,02:10.0,"""And then"""
26.Pink.34,02:11.3,02:14.5,"""Should we do the um air map thing"""
26.Pink.35,02:15.1,02:17.9,"""Cause we could use it I guess as a tarp or something"""
26.Orange.25,02:17.0,02:17.8,"""Tarp"""
26.Blue.14,02:17.8,02:18.4,"""Yeah"""
26.Pink.36,02:17.9,02:19.1,"""Yeah for shelter"""
